Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,LapTimeSeconds
RUS,1.0,0 days 00:01:32.694000,MEDIUM,1.0,1.0,1,,,92.694
RUS,2.0,0 days 00:01:25.007000,MEDIUM,2.0,1.0,1,,,85.007
RUS,3.0,0 days 00:01:26.444000,MEDIUM,3.0,1.0,1,,,86.444
RUS,4.0,0 days 00:01:24.789000,MEDIUM,4.0,1.0,1,,,84.789
RUS,5.0,0 days 00:01:24.017000,MEDIUM,5.0,1.0,1,,,84.017
RUS,6.0,0 days 00:01:24.639000,MEDIUM,6.0,1.0,1,,,84.639
RUS,7.0,0 days 00:01:24.099000,MEDIUM,7.0,1.0,1,,,84.099
RUS,8.0,0 days 00:01:25.190000,MEDIUM,8.0,1.0,1,,,85.19
RUS,9.0,0 days 00:01:25.978000,MEDIUM,9.0,1.0,1,,,85.978
RUS,10.0,0 days 00:01:24.112000,MEDIUM,10.0,1.0,1,,,84.112
RUS,11.0,0 days 00:01:23.967000,MEDIUM,11.0,1.0,1,,,83.967
RUS,12.0,0 days 00:02:05.940000,MEDIUM,12.0,1.0,16,0 days 01:19:51.153000,,125.94
RUS,13.0,0 days 00:01:57.659000,HARD,1.0,2.0,67,,0 days 01:20:09.298000,117.659
RUS,14.0,0 days 00:01:27.094000,HARD,2.0,2.0,71,,,87.094
RUS,15.0,0 days 00:01:22.825000,HARD,3.0,2.0,1,,,82.825
RUS,16.0,0 days 00:01:22.923000,HARD,4.0,2.0,1,,,82.923
RUS,17.0,0 days 00:01:22.765000,HARD,5.0,2.0,1,,,82.765
RUS,18.0,0 days 00:01:28.979000,HARD,6.0,2.0,126,,,88.979
RUS,19.0,0 days 00:01:55.257000,HARD,7.0,2.0,6,,,115.257
RUS,20.0,0 days 00:01:30.936000,HARD,8.0,2.0,671,,,90.936
RUS,21.0,0 days 00:01:22.670000,HARD,9.0,2.0,1,,,82.67
RUS,22.0,0 days 00:01:22.892000,HARD,10.0,2.0,1,,,82.892
RUS,23.0,0 days 00:01:22.828000,HARD,11.0,2.0,1,,,82.828
RUS,24.0,0 days 00:01:23.466000,HARD,12.0,2.0,1,,,83.466
RUS,25.0,0 days 00:01:22.879000,HARD,13.0,2.0,1,,,82.879
RUS,26.0,0 days 00:01:23.093000,HARD,14.0,2.0,1,,,83.093
RUS,27.0,0 days 00:01:23.188000,HARD,15.0,2.0,1,,,83.188
RUS,28.0,0 days 00:01:23.390000,HARD,16.0,2.0,1,,,83.39
RUS,29.0,0 days 00:01:23.486000,HARD,17.0,2.0,1,,,83.486
RUS,30.0,0 days 00:01:23.272000,HARD,18.0,2.0,1,,,83.272
RUS,31.0,0 days 00:01:23.147000,HARD,19.0,2.0,1,,,83.147
RUS,32.0,0 days 00:01:23.540000,HARD,20.0,2.0,1,,,83.54
RUS,33.0,0 days 00:01:23.838000,HARD,21.0,2.0,1,,,83.838
RUS,34.0,0 days 00:01:37.592000,HARD,22.0,2.0,167,,,97.592
RUS,35.0,0 days 00:01:23.017000,HARD,23.0,2.0,1,,,83.017
RUS,36.0,0 days 00:01:22.729000,HARD,24.0,2.0,1,,,82.729
RUS,37.0,0 days 00:01:22.839000,HARD,25.0,2.0,1,,,82.839
RUS,38.0,0 days 00:01:22.863000,HARD,26.0,2.0,1,,,82.863
RUS,39.0,0 days 00:01:22.738000,HARD,27.0,2.0,1,,,82.738
RUS,40.0,0 days 00:01:22.915000,HARD,28.0,2.0,1,,,82.915
RUS,41.0,0 days 00:01:23.073000,HARD,29.0,2.0,1,,,83.073
RUS,42.0,0 days 00:01:23.054000,HARD,30.0,2.0,1,,,83.054
RUS,43.0,0 days 00:01:22.893000,HARD,31.0,2.0,1,,,82.893
RUS,44.0,0 days 00:01:22.856000,HARD,32.0,2.0,1,,,82.856
RUS,45.0,0 days 00:01:23.477000,HARD,33.0,2.0,1,,,83.477
RUS,46.0,0 days 00:01:23.751000,HARD,34.0,2.0,1,,,83.751
RUS,47.0,0 days 00:01:23.033000,HARD,35.0,2.0,1,,,83.033
RUS,48.0,0 days 00:01:23.034000,HARD,36.0,2.0,1,,,83.034
RUS,49.0,0 days 00:01:22.844000,HARD,37.0,2.0,1,,,82.844
RUS,50.0,0 days 00:01:23.087000,HARD,38.0,2.0,1,,,83.087
RUS,51.0,0 days 00:01:22.762000,HARD,39.0,2.0,1,,,82.762
RUS,52.0,0 days 00:01:23.106000,HARD,40.0,2.0,1,,,83.106
RUS,53.0,0 days 00:01:23.069000,HARD,41.0,2.0,1,,,83.069
RUS,54.0,0 days 00:01:23.100000,HARD,42.0,2.0,1,,,83.1
RUS,55.0,0 days 00:01:22.670000,HARD,43.0,2.0,1,,,82.67
RUS,56.0,0 days 00:01:22.757000,HARD,44.0,2.0,1,,,82.757
RUS,57.0,0 days 00:01:23.188000,HARD,45.0,2.0,1,,,83.188
RUS,58.0,0 days 00:01:23.351000,HARD,46.0,2.0,1,,,83.351
ANT,1.0,0 days 00:01:36.966000,MEDIUM,1.0,1.0,1,,,96.966
ANT,2.0,0 days 00:01:27.129000,MEDIUM,2.0,1.0,1,,,87.129
ANT,3.0,0 days 00:01:25.463000,MEDIUM,3.0,1.0,1,,,85.463
ANT,4.0,0 days 00:01:25.411000,MEDIUM,4.0,1.0,1,,,85.411
ANT,5.0,0 days 00:01:24.499000,MEDIUM,5.0,1.0,1,,,84.499
ANT,6.0,0 days 00:01:24.024000,MEDIUM,6.0,1.0,1,,,84.024
ANT,7.0,0 days 00:01:23.835000,MEDIUM,7.0,1.0,1,,,83.835
ANT,8.0,0 days 00:01:23.683000,MEDIUM,8.0,1.0,1,,,83.683
ANT,9.0,0 days 00:01:23.908000,MEDIUM,9.0,1.0,1,,,83.908
ANT,10.0,0 days 00:01:24.037000,MEDIUM,10.0,1.0,1,,,84.037
ANT,11.0,0 days 00:01:23.890000,MEDIUM,11.0,1.0,16,,,83.89
ANT,12.0,0 days 00:02:09.682000,MEDIUM,12.0,1.0,6,0 days 01:19:53.658000,,129.682
ANT,13.0,0 days 00:01:57.691000,HARD,1.0,2.0,67,,0 days 01:20:14.928000,117.691
ANT,14.0,0 days 00:01:26.679000,HARD,2.0,2.0,71,,,86.679
ANT,15.0,0 days 00:01:23.287000,HARD,3.0,2.0,1,,,83.287
ANT,16.0,0 days 00:01:23.618000,HARD,4.0,2.0,1,,,83.618
ANT,17.0,0 days 00:01:23.260000,HARD,5.0,2.0,1,,,83.26
ANT,18.0,0 days 00:01:30.982000,HARD,6.0,2.0,126,,,90.982
ANT,19.0,0 days 00:01:55.334000,HARD,7.0,2.0,6,,,115.334
ANT,20.0,0 days 00:01:28.479000,HARD,8.0,2.0,671,,,88.479
ANT,21.0,0 days 00:01:22.781000,HARD,9.0,2.0,1,,,82.781
ANT,22.0,0 days 00:01:22.862000,HARD,10.0,2.0,1,,,82.862
ANT,23.0,0 days 00:01:22.582000,HARD,11.0,2.0,1,,,82.582
ANT,24.0,0 days 00:01:23.222000,HARD,12.0,2.0,1,,,83.222
ANT,25.0,0 days 00:01:24.545000,HARD,13.0,2.0,1,,,84.545
ANT,26.0,0 days 00:01:23.138000,HARD,14.0,2.0,1,,,83.138
ANT,27.0,0 days 00:01:23.103000,HARD,15.0,2.0,1,,,83.103
ANT,28.0,0 days 00:01:23.030000,HARD,16.0,2.0,1,,,83.03
ANT,29.0,0 days 00:01:22.968000,HARD,17.0,2.0,1,,,82.968
ANT,30.0,0 days 00:01:22.889000,HARD,18.0,2.0,1,,,82.889
ANT,31.0,0 days 00:01:22.880000,HARD,19.0,2.0,1,,,82.88
ANT,32.0,0 days 00:01:23.239000,HARD,20.0,2.0,1,,,83.239
ANT,33.0,0 days 00:01:23.017000,HARD,21.0,2.0,1,,,83.017
ANT,34.0,0 days 00:01:38.387000,HARD,22.0,2.0,167,,,98.387
ANT,35.0,0 days 00:01:23.292000,HARD,23.0,2.0,1,,,83.292
ANT,36.0,0 days 00:01:22.865000,HARD,24.0,2.0,1,,,82.865
ANT,37.0,0 days 00:01:22.966000,HARD,25.0,2.0,1,,,82.966
ANT,38.0,0 days 00:01:22.989000,HARD,26.0,2.0,1,,,82.989
ANT,39.0,0 days 00:01:22.921000,HARD,27.0,2.0,1,,,82.921
ANT,40.0,0 days 00:01:22.672000,HARD,28.0,2.0,1,,,82.672
ANT,41.0,0 days 00:01:22.928000,HARD,29.0,2.0,1,,,82.928
ANT,42.0,0 days 00:01:22.942000,HARD,30.0,2.0,1,,,82.942
ANT,43.0,0 days 00:01:23.015000,HARD,31.0,2.0,1,,,83.015
ANT,44.0,0 days 00:01:23.079000,HARD,32.0,2.0,1,,,83.079
ANT,45.0,0 days 00:01:23.123000,HARD,33.0,2.0,1,,,83.123
ANT,46.0,0 days 00:01:23.038000,HARD,34.0,2.0,1,,,83.038
ANT,47.0,0 days 00:01:23.066000,HARD,35.0,2.0,1,,,83.066
ANT,48.0,0 days 00:01:22.992000,HARD,36.0,2.0,1,,,82.992
ANT,49.0,0 days 00:01:23.245000,HARD,37.0,2.0,1,,,83.245
ANT,50.0,0 days 00:01:22.903000,HARD,38.0,2.0,1,,,82.903
ANT,51.0,0 days 00:01:22.625000,HARD,39.0,2.0,1,,,82.625
ANT,52.0,0 days 00:01:22.558000,HARD,40.0,2.0,1,,,82.558
ANT,53.0,0 days 00:01:22.613000,HARD,41.0,2.0,1,,,82.613
ANT,54.0,0 days 00:01:22.842000,HARD,42.0,2.0,1,,,82.842
ANT,55.0,0 days 00:01:22.928000,HARD,43.0,2.0,1,,,82.928
ANT,56.0,0 days 00:01:22.603000,HARD,44.0,2.0,1,,,82.603
ANT,57.0,0 days 00:01:22.417000,HARD,45.0,2.0,1,,,82.417
ANT,58.0,0 days 00:01:22.653000,HARD,46.0,2.0,1,,,82.653
