LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,LapTimeSeconds
1.0,0 days 00:01:39.258000,MEDIUM,1.0,1.0,1,,,99.258
2.0,0 days 00:01:33.194000,MEDIUM,2.0,1.0,1,,,93.194
3.0,0 days 00:01:33.574000,MEDIUM,3.0,1.0,1,,,93.574
4.0,0 days 00:01:33.873000,MEDIUM,4.0,1.0,1,,,93.873
5.0,0 days 00:01:33.837000,MEDIUM,5.0,1.0,12,,,93.837
6.0,0 days 00:02:10.928000,MEDIUM,6.0,1.0,24,,,130.928
7.0,0 days 00:02:17.484000,MEDIUM,7.0,1.0,4,,,137.484
8.0,0 days 00:02:22.950000,MEDIUM,8.0,1.0,4,,,142.95
9.0,0 days 00:02:27.445000,MEDIUM,9.0,1.0,4,,,147.445
10.0,0 days 00:02:18.393000,MEDIUM,10.0,1.0,4,,,138.393
11.0,0 days 00:02:29.958000,MEDIUM,11.0,1.0,41,,,149.958
12.0,0 days 00:01:34.951000,MEDIUM,12.0,1.0,1,,,94.951
13.0,0 days 00:01:33.583000,MEDIUM,13.0,1.0,1,,,93.583
14.0,0 days 00:01:33.818000,MEDIUM,14.0,1.0,1,,,93.818
15.0,0 days 00:01:33.495000,MEDIUM,15.0,1.0,1,,,93.495
16.0,0 days 00:01:33.565000,MEDIUM,16.0,1.0,12,,,93.565
17.0,0 days 00:01:33.990000,MEDIUM,17.0,1.0,1,,,93.99
18.0,0 days 00:01:34.058000,MEDIUM,18.0,1.0,1,,,94.058
19.0,0 days 00:01:33.873000,MEDIUM,19.0,1.0,1,,,93.873
20.0,0 days 00:01:39.114000,MEDIUM,20.0,1.0,1,0 days 01:33:28.001000,,99.114
21.0,0 days 00:01:45.973000,HARD,1.0,2.0,1,,0 days 01:33:49.953000,105.973
22.0,0 days 00:01:32.636000,HARD,2.0,2.0,1,,,92.636
23.0,0 days 00:01:33.752000,HARD,3.0,2.0,1,,,93.752
24.0,0 days 00:01:34.363000,HARD,4.0,2.0,1,,,94.363
25.0,0 days 00:01:33.069000,HARD,5.0,2.0,1,,,93.069
26.0,0 days 00:01:33.423000,HARD,6.0,2.0,1,,,93.423
27.0,0 days 00:01:33.205000,HARD,7.0,2.0,1,,,93.205
28.0,0 days 00:01:32.957000,HARD,8.0,2.0,1,,,92.957
29.0,0 days 00:01:32.906000,HARD,9.0,2.0,1,,,92.906
30.0,0 days 00:01:33.639000,HARD,10.0,2.0,1,,,93.639
31.0,0 days 00:01:34.234000,HARD,11.0,2.0,1,,,94.234
32.0,0 days 00:01:33.326000,HARD,12.0,2.0,1,,,93.326
33.0,0 days 00:01:33.547000,HARD,13.0,2.0,1,,,93.547
34.0,0 days 00:01:34.330000,HARD,14.0,2.0,1,,,94.33
35.0,0 days 00:01:34.952000,HARD,15.0,2.0,1,,,94.952
36.0,0 days 00:01:33.722000,HARD,16.0,2.0,1,,,93.722
37.0,0 days 00:01:33.203000,HARD,17.0,2.0,1,,,93.203
38.0,0 days 00:01:33.237000,HARD,18.0,2.0,1,,,93.237
39.0,0 days 00:01:32.977000,HARD,19.0,2.0,1,,,92.977
40.0,0 days 00:01:33.177000,HARD,20.0,2.0,1,,,93.177
41.0,0 days 00:01:32.898000,HARD,21.0,2.0,1,,,92.898
42.0,0 days 00:01:33.198000,HARD,22.0,2.0,1,,,93.198
43.0,0 days 00:01:33.293000,HARD,23.0,2.0,1,,,93.293
44.0,0 days 00:01:33.747000,HARD,24.0,2.0,1,,,93.747
45.0,0 days 00:01:33.070000,HARD,25.0,2.0,1,,,93.07
46.0,0 days 00:01:33.302000,HARD,26.0,2.0,1,,,93.302
47.0,0 days 00:01:33.261000,HARD,27.0,2.0,1,,,93.261
48.0,0 days 00:01:33.272000,HARD,28.0,2.0,12,,,93.272
49.0,0 days 00:01:32.741000,HARD,29.0,2.0,1,,,92.741
50.0,0 days 00:01:32.701000,HARD,30.0,2.0,1,,,92.701
51.0,0 days 00:01:32.807000,HARD,31.0,2.0,1,,,92.807
52.0,0 days 00:01:32.877000,HARD,32.0,2.0,1,,,92.877
53.0,0 days 00:01:32.446000,HARD,33.0,2.0,1,,,92.446
54.0,0 days 00:01:33.810000,HARD,34.0,2.0,1,,,93.81
55.0,0 days 00:01:36.203000,HARD,35.0,2.0,1,,,96.203
56.0,0 days 00:01:34.187000,HARD,36.0,2.0,1,,,94.187
57.0,0 days 00:01:34.542000,HARD,37.0,2.0,12,,,94.542
