LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,LapTimeSeconds
1.0,0 days 00:01:27.965000,SOFT,4.0,1.0,1,,,87.965
2.0,0 days 00:01:20.925000,SOFT,5.0,1.0,1,,,80.925
3.0,0 days 00:01:19.420000,SOFT,6.0,1.0,1,,,79.42
4.0,0 days 00:01:17.945000,SOFT,7.0,1.0,1,,,77.945
5.0,0 days 00:01:17.034000,SOFT,8.0,1.0,1,,,77.034
6.0,0 days 00:01:16.365000,SOFT,9.0,1.0,1,,,76.365
7.0,0 days 00:01:16.584000,SOFT,10.0,1.0,1,,,76.584
8.0,0 days 00:01:16.105000,SOFT,11.0,1.0,1,,,76.105
9.0,0 days 00:01:15.796000,SOFT,12.0,1.0,1,,,75.796
10.0,0 days 00:01:15.778000,SOFT,13.0,1.0,1,,,75.778
11.0,0 days 00:01:15.572000,SOFT,14.0,1.0,1,,,75.572
12.0,0 days 00:01:16.804000,SOFT,15.0,1.0,1,,,76.804
13.0,0 days 00:01:17.341000,SOFT,16.0,1.0,12,,,77.341
14.0,0 days 00:01:16.192000,SOFT,17.0,1.0,21,,,76.192
15.0,0 days 00:01:15.791000,SOFT,18.0,1.0,1,,,75.791
16.0,0 days 00:01:15.477000,SOFT,19.0,1.0,1,,,75.477
17.0,0 days 00:01:16.545000,SOFT,20.0,1.0,1,,,76.545
18.0,0 days 00:01:15.735000,SOFT,21.0,1.0,1,,,75.735
19.0,0 days 00:01:15.576000,SOFT,22.0,1.0,12,,,75.576
20.0,0 days 00:01:15.538000,SOFT,23.0,1.0,1,,,75.538
21.0,0 days 00:01:15.759000,SOFT,24.0,1.0,1,,,75.759
22.0,0 days 00:01:16.657000,SOFT,25.0,1.0,1,,,76.657
23.0,0 days 00:01:15.877000,SOFT,26.0,1.0,1,,,75.877
24.0,0 days 00:01:16.828000,SOFT,27.0,1.0,1,,,76.828
25.0,0 days 00:01:17.038000,SOFT,28.0,1.0,1,,,77.038
26.0,0 days 00:01:16.321000,SOFT,29.0,1.0,1,,,76.321
27.0,0 days 00:01:16.273000,SOFT,30.0,1.0,1,,,76.273
28.0,0 days 00:01:16.272000,SOFT,31.0,1.0,1,,,76.272
29.0,0 days 00:01:15.541000,SOFT,32.0,1.0,1,,,75.541
