Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
ANT,1.0,0 days 00:01:23.319000,MEDIUM,7.0,1.0,1,,,,0 days 00:00:24.897000,0 days 00:00:30.891000,3.0,83.319,,24.897,30.891,2025,Canada,R
ANT,2.0,0 days 00:01:16.584000,MEDIUM,8.0,1.0,1,,,0 days 00:00:21.887000,0 days 00:00:24.289000,0 days 00:00:30.408000,3.0,76.584,21.887,24.289,30.408,2025,Canada,R
ANT,3.0,0 days 00:01:16.878000,MEDIUM,9.0,1.0,1,,,0 days 00:00:21.641000,0 days 00:00:24.372000,0 days 00:00:30.865000,3.0,76.878,21.641,24.372,30.865,2025,Canada,R
ANT,4.0,0 days 00:01:16.357000,MEDIUM,10.0,1.0,1,,,0 days 00:00:21.512000,0 days 00:00:24.210000,0 days 00:00:30.635000,3.0,76.357,21.512,24.21,30.635,2025,Canada,R
ANT,5.0,0 days 00:01:16.186000,MEDIUM,11.0,1.0,1,,,0 days 00:00:21.290000,0 days 00:00:24.224000,0 days 00:00:30.672000,3.0,76.186,21.29,24.224,30.672,2025,Canada,R
ANT,6.0,0 days 00:01:16.159000,MEDIUM,12.0,1.0,1,,,0 days 00:00:21.314000,0 days 00:00:24.167000,0 days 00:00:30.678000,3.0,76.159,21.314,24.167,30.678,2025,Canada,R
ANT,7.0,0 days 00:01:16.295000,MEDIUM,13.0,1.0,1,,,0 days 00:00:21.340000,0 days 00:00:24.272000,0 days 00:00:30.683000,3.0,76.295,21.34,24.272,30.683,2025,Canada,R
ANT,8.0,0 days 00:01:16.436000,MEDIUM,14.0,1.0,1,,,0 days 00:00:21.342000,0 days 00:00:24.315000,0 days 00:00:30.779000,3.0,76.436,21.342,24.315,30.779,2025,Canada,R
ANT,9.0,0 days 00:01:16.439000,MEDIUM,15.0,1.0,1,,,0 days 00:00:21.368000,0 days 00:00:24.347000,0 days 00:00:30.724000,3.0,76.439,21.368,24.347,30.724,2025,Canada,R
ANT,10.0,0 days 00:01:16.562000,MEDIUM,16.0,1.0,1,,,0 days 00:00:21.399000,0 days 00:00:24.340000,0 days 00:00:30.823000,3.0,76.562,21.399,24.34,30.823,2025,Canada,R
