Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,1.0,0 days 00:01:43.267000,MEDIUM,2.0,1.0,1,,,,0 days 00:00:33.383000,0 days 00:00:37.566000,1.0,103.267,,33.383,37.566,2024,Las Vegas,R
RUS,2.0,0 days 00:01:39.077000,MEDIUM,3.0,1.0,1,,,0 days 00:00:28.738000,0 days 00:00:33.235000,0 days 00:00:37.104000,1.0,99.077,28.738,33.235,37.104,2024,Las Vegas,R
RUS,3.0,0 days 00:01:38.864000,MEDIUM,4.0,1.0,1,,,0 days 00:00:28.368000,0 days 00:00:33.152000,0 days 00:00:37.344000,1.0,98.864,28.368,33.152,37.344,2024,Las Vegas,R
RUS,4.0,0 days 00:01:38.748000,MEDIUM,5.0,1.0,1,,,0 days 00:00:28.229000,0 days 00:00:32.970000,0 days 00:00:37.549000,1.0,98.748,28.229,32.97,37.549,2024,Las Vegas,R
RUS,5.0,0 days 00:01:38.136000,MEDIUM,6.0,1.0,1,,,0 days 00:00:28.341000,0 days 00:00:32.594000,0 days 00:00:37.201000,1.0,98.136,28.341,32.594,37.201,2024,Las Vegas,R
RUS,6.0,0 days 00:01:38.330000,MEDIUM,7.0,1.0,1,,,0 days 00:00:28.217000,0 days 00:00:33.033000,0 days 00:00:37.080000,1.0,98.33,28.217,33.033,37.08,2024,Las Vegas,R
RUS,7.0,0 days 00:01:38.498000,MEDIUM,8.0,1.0,1,,,0 days 00:00:28.127000,0 days 00:00:33.232000,0 days 00:00:37.139000,1.0,98.498,28.127,33.232,37.139,2024,Las Vegas,R
RUS,8.0,0 days 00:01:38.353000,MEDIUM,9.0,1.0,1,,,0 days 00:00:28.106000,0 days 00:00:33.174000,0 days 00:00:37.073000,1.0,98.353,28.106,33.174,37.073,2024,Las Vegas,R
RUS,9.0,0 days 00:01:38.751000,MEDIUM,10.0,1.0,1,,,0 days 00:00:28.174000,0 days 00:00:33.293000,0 days 00:00:37.284000,1.0,98.751,28.174,33.293,37.284,2024,Las Vegas,R
RUS,10.0,0 days 00:01:38.681000,MEDIUM,11.0,1.0,1,,,0 days 00:00:28.296000,0 days 00:00:33.247000,0 days 00:00:37.138000,1.0,98.681,28.296,33.247,37.138,2024,Las Vegas,R
RUS,11.0,0 days 00:01:38.689000,MEDIUM,12.0,1.0,1,,,0 days 00:00:28.305000,0 days 00:00:33.335000,0 days 00:00:37.049000,1.0,98.689,28.305,33.335,37.049,2024,Las Vegas,R
RUS,12.0,0 days 00:01:43.522000,MEDIUM,13.0,1.0,1,0 days 01:16:17.226000,,0 days 00:00:28.363000,0 days 00:00:33.385000,0 days 00:00:41.774000,1.0,103.522,28.363,33.385,41.774,2024,Las Vegas,R
RUS,13.0,0 days 00:01:54.754000,HARD,2.0,2.0,1,,0 days 01:16:38.205000,0 days 00:00:44.155000,0 days 00:00:33.616000,0 days 00:00:36.983000,2.0,114.754,44.155,33.616,36.983,2024,Las Vegas,R
RUS,14.0,0 days 00:01:38.296000,HARD,3.0,2.0,1,,,0 days 00:00:28.196000,0 days 00:00:33.058000,0 days 00:00:37.042000,1.0,98.296,28.196,33.058,37.042,2024,Las Vegas,R
RUS,15.0,0 days 00:01:38.331000,HARD,4.0,2.0,1,,,0 days 00:00:28.212000,0 days 00:00:33.012000,0 days 00:00:37.107000,1.0,98.331,28.212,33.012,37.107,2024,Las Vegas,R
RUS,16.0,0 days 00:01:37.913000,HARD,5.0,2.0,1,,,0 days 00:00:28.035000,0 days 00:00:32.943000,0 days 00:00:36.935000,1.0,97.913,28.035,32.943,36.935,2024,Las Vegas,R
RUS,17.0,0 days 00:01:37.869000,HARD,6.0,2.0,1,,,0 days 00:00:28.025000,0 days 00:00:32.926000,0 days 00:00:36.918000,1.0,97.869,28.025,32.926,36.918,2024,Las Vegas,R
RUS,18.0,0 days 00:01:37.964000,HARD,7.0,2.0,1,,,0 days 00:00:28.028000,0 days 00:00:32.974000,0 days 00:00:36.962000,1.0,97.964,28.028,32.974,36.962,2024,Las Vegas,R
RUS,19.0,0 days 00:01:38.003000,HARD,8.0,2.0,1,,,0 days 00:00:28.084000,0 days 00:00:32.989000,0 days 00:00:36.930000,1.0,98.003,28.084,32.989,36.93,2024,Las Vegas,R
RUS,20.0,0 days 00:01:37.733000,HARD,9.0,2.0,1,,,0 days 00:00:27.982000,0 days 00:00:32.966000,0 days 00:00:36.785000,1.0,97.733,27.982,32.966,36.785,2024,Las Vegas,R
RUS,21.0,0 days 00:01:37.359000,HARD,10.0,2.0,1,,,0 days 00:00:27.868000,0 days 00:00:32.675000,0 days 00:00:36.816000,1.0,97.359,27.868,32.675,36.816,2024,Las Vegas,R
RUS,22.0,0 days 00:01:37.556000,HARD,11.0,2.0,1,,,0 days 00:00:27.940000,0 days 00:00:32.754000,0 days 00:00:36.862000,1.0,97.556,27.94,32.754,36.862,2024,Las Vegas,R
RUS,23.0,0 days 00:01:37.730000,HARD,12.0,2.0,1,,,0 days 00:00:27.956000,0 days 00:00:32.895000,0 days 00:00:36.879000,1.0,97.73,27.956,32.895,36.879,2024,Las Vegas,R
RUS,24.0,0 days 00:01:37.576000,HARD,13.0,2.0,1,,,0 days 00:00:27.961000,0 days 00:00:32.736000,0 days 00:00:36.879000,1.0,97.576,27.961,32.736,36.879,2024,Las Vegas,R
RUS,25.0,0 days 00:01:37.724000,HARD,14.0,2.0,1,,,0 days 00:00:27.928000,0 days 00:00:32.843000,0 days 00:00:36.953000,1.0,97.724,27.928,32.843,36.953,2024,Las Vegas,R
RUS,26.0,0 days 00:01:37.467000,HARD,15.0,2.0,1,,,0 days 00:00:27.795000,0 days 00:00:32.834000,0 days 00:00:36.838000,1.0,97.467,27.795,32.834,36.838,2024,Las Vegas,R
RUS,27.0,0 days 00:01:37.609000,HARD,16.0,2.0,1,,,0 days 00:00:27.811000,0 days 00:00:32.964000,0 days 00:00:36.834000,1.0,97.609,27.811,32.964,36.834,2024,Las Vegas,R
RUS,28.0,0 days 00:01:37.896000,HARD,17.0,2.0,1,,,0 days 00:00:27.884000,0 days 00:00:33.183000,0 days 00:00:36.829000,1.0,97.896,27.884,33.183,36.829,2024,Las Vegas,R
RUS,29.0,0 days 00:01:37.556000,HARD,18.0,2.0,1,,,0 days 00:00:28.074000,0 days 00:00:32.784000,0 days 00:00:36.698000,1.0,97.556,28.074,32.784,36.698,2024,Las Vegas,R
RUS,30.0,0 days 00:01:37.544000,HARD,19.0,2.0,1,,,0 days 00:00:27.920000,0 days 00:00:32.880000,0 days 00:00:36.744000,1.0,97.544,27.92,32.88,36.744,2024,Las Vegas,R
RUS,31.0,0 days 00:01:37.801000,HARD,20.0,2.0,1,,,0 days 00:00:27.957000,0 days 00:00:33.099000,0 days 00:00:36.745000,1.0,97.801,27.957,33.099,36.745,2024,Las Vegas,R
RUS,32.0,0 days 00:01:42.229000,HARD,21.0,2.0,1,0 days 01:49:14.169000,,0 days 00:00:27.884000,0 days 00:00:32.879000,0 days 00:00:41.466000,1.0,102.229,27.884,32.879,41.466,2024,Las Vegas,R
RUS,33.0,0 days 00:01:53.703000,HARD,2.0,3.0,1,,0 days 01:49:35.176000,0 days 00:00:43.646000,0 days 00:00:33.163000,0 days 00:00:36.894000,1.0,113.703,43.646,33.163,36.894,2024,Las Vegas,R
RUS,34.0,0 days 00:01:37.621000,HARD,3.0,3.0,1,,,0 days 00:00:28.030000,0 days 00:00:32.853000,0 days 00:00:36.738000,1.0,97.621,28.03,32.853,36.738,2024,Las Vegas,R
RUS,35.0,0 days 00:01:37.246000,HARD,4.0,3.0,1,,,0 days 00:00:27.863000,0 days 00:00:32.699000,0 days 00:00:36.684000,1.0,97.246,27.863,32.699,36.684,2024,Las Vegas,R
RUS,36.0,0 days 00:01:37.021000,HARD,5.0,3.0,1,,,0 days 00:00:27.877000,0 days 00:00:32.526000,0 days 00:00:36.618000,1.0,97.021,27.877,32.526,36.618,2024,Las Vegas,R
RUS,37.0,0 days 00:01:36.844000,HARD,6.0,3.0,1,,,0 days 00:00:27.701000,0 days 00:00:32.571000,0 days 00:00:36.572000,1.0,96.844,27.701,32.571,36.572,2024,Las Vegas,R
RUS,38.0,0 days 00:01:36.407000,HARD,7.0,3.0,1,,,0 days 00:00:27.727000,0 days 00:00:32.318000,0 days 00:00:36.362000,1.0,96.407,27.727,32.318,36.362,2024,Las Vegas,R
RUS,39.0,0 days 00:01:36.275000,HARD,8.0,3.0,1,,,0 days 00:00:27.625000,0 days 00:00:32.313000,0 days 00:00:36.337000,1.0,96.275,27.625,32.313,36.337,2024,Las Vegas,R
RUS,40.0,0 days 00:01:36.358000,HARD,9.0,3.0,1,,,0 days 00:00:27.508000,0 days 00:00:32.436000,0 days 00:00:36.414000,1.0,96.358,27.508,32.436,36.414,2024,Las Vegas,R
RUS,41.0,0 days 00:01:36.559000,HARD,10.0,3.0,1,,,0 days 00:00:27.864000,0 days 00:00:32.244000,0 days 00:00:36.451000,1.0,96.559,27.864,32.244,36.451,2024,Las Vegas,R
RUS,42.0,0 days 00:01:36.344000,HARD,11.0,3.0,1,,,0 days 00:00:27.640000,0 days 00:00:32.252000,0 days 00:00:36.452000,1.0,96.344,27.64,32.252,36.452,2024,Las Vegas,R
RUS,43.0,0 days 00:01:35.951000,HARD,12.0,3.0,1,,,0 days 00:00:27.377000,0 days 00:00:32.164000,0 days 00:00:36.410000,1.0,95.951,27.377,32.164,36.41,2024,Las Vegas,R
RUS,44.0,0 days 00:01:35.946000,HARD,13.0,3.0,1,,,0 days 00:00:27.286000,0 days 00:00:32.186000,0 days 00:00:36.474000,1.0,95.946,27.286,32.186,36.474,2024,Las Vegas,R
RUS,45.0,0 days 00:01:36.057000,HARD,14.0,3.0,1,,,0 days 00:00:27.342000,0 days 00:00:32.301000,0 days 00:00:36.414000,1.0,96.057,27.342,32.301,36.414,2024,Las Vegas,R
RUS,46.0,0 days 00:01:35.717000,HARD,15.0,3.0,1,,,0 days 00:00:27.305000,0 days 00:00:31.481000,0 days 00:00:36.418000,1.0,95.717,27.305,31.481,36.418,2024,Las Vegas,R
RUS,47.0,0 days 00:01:36.360000,HARD,16.0,3.0,1,,,0 days 00:00:27.520000,0 days 00:00:31.784000,0 days 00:00:36.547000,1.0,96.36,27.52,31.784,36.547,2024,Las Vegas,R
RUS,48.0,0 days 00:01:36.663000,HARD,17.0,3.0,1,,,0 days 00:00:27.685000,0 days 00:00:32.411000,0 days 00:00:36.567000,1.0,96.663,27.685,32.411,36.567,2024,Las Vegas,R
RUS,49.0,0 days 00:01:37.204000,HARD,18.0,3.0,1,,,0 days 00:00:27.937000,0 days 00:00:32.667000,0 days 00:00:36.600000,1.0,97.204,27.937,32.667,36.6,2024,Las Vegas,R
RUS,50.0,0 days 00:01:37.867000,HARD,19.0,3.0,1,,,0 days 00:00:27.958000,0 days 00:00:32.969000,0 days 00:00:36.940000,1.0,97.867,27.958,32.969,36.94,2024,Las Vegas,R
