Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,1.0,0 days 00:01:38.178000,nan,,,12,,,,0 days 00:00:35.704000,0 days 00:00:26.329000,4.0,98.178,,35.704,26.329,2025,Miami,R
RUS,2.0,0 days 00:01:52.831000,nan,,,126,,,0 days 00:00:31.940000,0 days 00:00:48.138000,0 days 00:00:32.753000,4.0,112.831,31.94,48.138,32.753,2025,Miami,R
RUS,3.0,0 days 00:02:04.090000,nan,,,671,,,0 days 00:00:43.671000,0 days 00:00:49.087000,0 days 00:00:31.332000,4.0,124.09,43.671,49.087,31.332,2025,Miami,R
RUS,4.0,0 days 00:01:32.646000,nan,,,1,,,0 days 00:00:31.480000,0 days 00:00:35.224000,0 days 00:00:25.942000,4.0,92.646,31.48,35.224,25.942,2025,Miami,R
RUS,5.0,0 days 00:01:32.779000,nan,,,1,,,0 days 00:00:31.580000,0 days 00:00:35.190000,0 days 00:00:26.009000,4.0,92.779,31.58,35.19,26.009,2025,Miami,R
RUS,6.0,0 days 00:01:33.036000,nan,,,1,,,0 days 00:00:31.423000,0 days 00:00:35.469000,0 days 00:00:26.144000,4.0,93.036,31.423,35.469,26.144,2025,Miami,R
RUS,7.0,0 days 00:01:34.362000,nan,,,1,,,0 days 00:00:32.601000,0 days 00:00:35.612000,0 days 00:00:26.149000,5.0,94.362,32.601,35.612,26.149,2025,Miami,R
RUS,8.0,0 days 00:01:33.136000,nan,,,1,,,0 days 00:00:31.678000,0 days 00:00:35.346000,0 days 00:00:26.112000,5.0,93.136,31.678,35.346,26.112,2025,Miami,R
RUS,9.0,0 days 00:01:32.951000,nan,,,1,,,0 days 00:00:31.529000,0 days 00:00:35.372000,0 days 00:00:26.050000,5.0,92.951,31.529,35.372,26.05,2025,Miami,R
RUS,10.0,0 days 00:01:33.161000,nan,,,1,,,0 days 00:00:31.483000,0 days 00:00:35.414000,0 days 00:00:26.264000,5.0,93.161,31.483,35.414,26.264,2025,Miami,R
RUS,11.0,0 days 00:01:32.670000,nan,,,1,,,0 days 00:00:31.448000,0 days 00:00:35.085000,0 days 00:00:26.137000,5.0,92.67,31.448,35.085,26.137,2025,Miami,R
RUS,12.0,0 days 00:01:32.836000,nan,,,1,,,0 days 00:00:31.529000,0 days 00:00:35.167000,0 days 00:00:26.140000,5.0,92.836,31.529,35.167,26.14,2025,Miami,R
RUS,13.0,0 days 00:01:32.829000,nan,,,1,,,0 days 00:00:31.434000,0 days 00:00:35.299000,0 days 00:00:26.096000,5.0,92.829,31.434,35.299,26.096,2025,Miami,R
RUS,14.0,0 days 00:01:32.719000,nan,,,1,,,0 days 00:00:31.430000,0 days 00:00:35.251000,0 days 00:00:26.038000,5.0,92.719,31.43,35.251,26.038,2025,Miami,R
