Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,1.0,0 days 00:01:43.905000,MEDIUM,1.0,1.0,1,,,,0 days 00:00:42.718000,0 days 00:00:29.061000,1.0,103.905,,42.718,29.061,2025,Singapore,R
RUS,2.0,0 days 00:01:39.149000,MEDIUM,2.0,1.0,1,,,0 days 00:00:29.263000,0 days 00:00:41.666000,0 days 00:00:28.220000,1.0,99.149,29.263,41.666,28.22,2025,Singapore,R
RUS,3.0,0 days 00:01:38.035000,MEDIUM,3.0,1.0,1,,,0 days 00:00:28.980000,0 days 00:00:41.190000,0 days 00:00:27.865000,1.0,98.035,28.98,41.19,27.865,2025,Singapore,R
RUS,4.0,0 days 00:01:37.570000,MEDIUM,4.0,1.0,1,,,0 days 00:00:28.833000,0 days 00:00:41.147000,0 days 00:00:27.590000,1.0,97.57,28.833,41.147,27.59,2025,Singapore,R
RUS,5.0,0 days 00:01:37.184000,MEDIUM,5.0,1.0,1,,,0 days 00:00:28.639000,0 days 00:00:40.996000,0 days 00:00:27.549000,1.0,97.184,28.639,40.996,27.549,2025,Singapore,R
RUS,6.0,0 days 00:01:36.854000,MEDIUM,6.0,1.0,1,,,0 days 00:00:28.614000,0 days 00:00:40.866000,0 days 00:00:27.374000,1.0,96.854,28.614,40.866,27.374,2025,Singapore,R
RUS,7.0,0 days 00:01:36.768000,MEDIUM,7.0,1.0,12,,,0 days 00:00:28.599000,0 days 00:00:40.750000,0 days 00:00:27.419000,1.0,96.768,28.599,40.75,27.419,2025,Singapore,R
RUS,8.0,0 days 00:01:36.655000,MEDIUM,8.0,1.0,1,,,0 days 00:00:28.581000,0 days 00:00:40.764000,0 days 00:00:27.310000,1.0,96.655,28.581,40.764,27.31,2025,Singapore,R
RUS,9.0,0 days 00:01:36.726000,MEDIUM,9.0,1.0,1,,,0 days 00:00:28.598000,0 days 00:00:40.836000,0 days 00:00:27.292000,1.0,96.726,28.598,40.836,27.292,2025,Singapore,R
RUS,10.0,0 days 00:01:36.665000,MEDIUM,10.0,1.0,1,,,0 days 00:00:28.559000,0 days 00:00:40.825000,0 days 00:00:27.281000,1.0,96.665,28.559,40.825,27.281,2025,Singapore,R
RUS,11.0,0 days 00:01:36.712000,MEDIUM,11.0,1.0,1,,,0 days 00:00:28.588000,0 days 00:00:40.885000,0 days 00:00:27.239000,1.0,96.712,28.588,40.885,27.239,2025,Singapore,R
RUS,12.0,0 days 00:01:36.485000,MEDIUM,12.0,1.0,1,,,0 days 00:00:28.558000,0 days 00:00:40.696000,0 days 00:00:27.231000,1.0,96.485,28.558,40.696,27.231,2025,Singapore,R
RUS,13.0,0 days 00:01:36.630000,MEDIUM,13.0,1.0,1,,,0 days 00:00:28.650000,0 days 00:00:40.759000,0 days 00:00:27.221000,1.0,96.63,28.65,40.759,27.221,2025,Singapore,R
RUS,14.0,0 days 00:01:36.822000,MEDIUM,14.0,1.0,1,,,0 days 00:00:28.696000,0 days 00:00:40.857000,0 days 00:00:27.269000,1.0,96.822,28.696,40.857,27.269,2025,Singapore,R
RUS,15.0,0 days 00:01:37.152000,MEDIUM,15.0,1.0,1,,,0 days 00:00:28.705000,0 days 00:00:41.032000,0 days 00:00:27.415000,1.0,97.152,28.705,41.032,27.415,2025,Singapore,R
RUS,16.0,0 days 00:01:36.903000,MEDIUM,16.0,1.0,1,,,0 days 00:00:28.690000,0 days 00:00:40.984000,0 days 00:00:27.229000,1.0,96.903,28.69,40.984,27.229,2025,Singapore,R
RUS,17.0,0 days 00:01:36.973000,MEDIUM,17.0,1.0,1,,,0 days 00:00:28.818000,0 days 00:00:40.846000,0 days 00:00:27.309000,1.0,96.973,28.818,40.846,27.309,2025,Singapore,R
RUS,18.0,0 days 00:01:37.039000,MEDIUM,18.0,1.0,1,,,0 days 00:00:28.773000,0 days 00:00:41.001000,0 days 00:00:27.265000,1.0,97.039,28.773,41.001,27.265,2025,Singapore,R
RUS,19.0,0 days 00:01:36.916000,MEDIUM,19.0,1.0,1,,,0 days 00:00:28.777000,0 days 00:00:40.873000,0 days 00:00:27.266000,1.0,96.916,28.777,40.873,27.266,2025,Singapore,R
RUS,20.0,0 days 00:01:37.259000,MEDIUM,20.0,1.0,1,,,0 days 00:00:28.742000,0 days 00:00:41.168000,0 days 00:00:27.349000,1.0,97.259,28.742,41.168,27.349,2025,Singapore,R
RUS,21.0,0 days 00:01:37.109000,MEDIUM,21.0,1.0,1,,,0 days 00:00:28.851000,0 days 00:00:40.950000,0 days 00:00:27.308000,1.0,97.109,28.851,40.95,27.308,2025,Singapore,R
RUS,22.0,0 days 00:01:37.226000,MEDIUM,22.0,1.0,1,,,0 days 00:00:28.814000,0 days 00:00:41.135000,0 days 00:00:27.277000,1.0,97.226,28.814,41.135,27.277,2025,Singapore,R
RUS,23.0,0 days 00:01:37.158000,MEDIUM,23.0,1.0,1,,,0 days 00:00:28.703000,0 days 00:00:41.074000,0 days 00:00:27.381000,1.0,97.158,28.703,41.074,27.381,2025,Singapore,R
RUS,24.0,0 days 00:01:37.199000,MEDIUM,24.0,1.0,1,,,0 days 00:00:28.710000,0 days 00:00:41.188000,0 days 00:00:27.301000,1.0,97.199,28.71,41.188,27.301,2025,Singapore,R
RUS,25.0,0 days 00:01:43.178000,MEDIUM,25.0,1.0,1,0 days 01:35:32.507000,,0 days 00:00:28.747000,0 days 00:00:41.237000,0 days 00:00:33.194000,1.0,103.178,28.747,41.237,33.194,2025,Singapore,R
RUS,26.0,0 days 00:01:53.098000,HARD,1.0,2.0,1,,0 days 01:35:56.501000,0 days 00:00:45.791000,0 days 00:00:40.340000,0 days 00:00:26.967000,3.0,113.098,45.791,40.34,26.967,2025,Singapore,R
RUS,27.0,0 days 00:01:35.676000,HARD,2.0,2.0,1,,,0 days 00:00:28.439000,0 days 00:00:40.312000,0 days 00:00:26.925000,2.0,95.676,28.439,40.312,26.925,2025,Singapore,R
RUS,28.0,0 days 00:01:35.843000,HARD,3.0,2.0,1,,,0 days 00:00:28.400000,0 days 00:00:40.457000,0 days 00:00:26.986000,1.0,95.843,28.4,40.457,26.986,2025,Singapore,R
RUS,29.0,0 days 00:01:35.795000,HARD,4.0,2.0,1,,,0 days 00:00:28.411000,0 days 00:00:40.340000,0 days 00:00:27.044000,1.0,95.795,28.411,40.34,27.044,2025,Singapore,R
RUS,30.0,0 days 00:01:36.027000,HARD,5.0,2.0,1,,,0 days 00:00:28.421000,0 days 00:00:40.576000,0 days 00:00:27.030000,1.0,96.027,28.421,40.576,27.03,2025,Singapore,R
RUS,31.0,0 days 00:01:35.912000,HARD,6.0,2.0,1,,,0 days 00:00:28.441000,0 days 00:00:40.474000,0 days 00:00:26.997000,1.0,95.912,28.441,40.474,26.997,2025,Singapore,R
RUS,32.0,0 days 00:01:35.836000,HARD,7.0,2.0,1,,,0 days 00:00:28.461000,0 days 00:00:40.415000,0 days 00:00:26.960000,1.0,95.836,28.461,40.415,26.96,2025,Singapore,R
RUS,33.0,0 days 00:01:36.123000,HARD,8.0,2.0,1,,,0 days 00:00:28.502000,0 days 00:00:40.556000,0 days 00:00:27.065000,1.0,96.123,28.502,40.556,27.065,2025,Singapore,R
RUS,34.0,0 days 00:01:35.904000,HARD,9.0,2.0,1,,,0 days 00:00:28.509000,0 days 00:00:40.415000,0 days 00:00:26.980000,1.0,95.904,28.509,40.415,26.98,2025,Singapore,R
RUS,35.0,0 days 00:01:35.879000,HARD,10.0,2.0,1,,,0 days 00:00:28.411000,0 days 00:00:40.471000,0 days 00:00:26.997000,1.0,95.879,28.411,40.471,26.997,2025,Singapore,R
RUS,36.0,0 days 00:01:35.910000,HARD,11.0,2.0,1,,,0 days 00:00:28.433000,0 days 00:00:40.470000,0 days 00:00:27.007000,1.0,95.91,28.433,40.47,27.007,2025,Singapore,R
RUS,37.0,0 days 00:01:36.119000,HARD,12.0,2.0,1,,,0 days 00:00:28.493000,0 days 00:00:40.661000,0 days 00:00:26.965000,1.0,96.119,28.493,40.661,26.965,2025,Singapore,R
RUS,38.0,0 days 00:01:36.189000,HARD,13.0,2.0,1,,,0 days 00:00:28.462000,0 days 00:00:40.715000,0 days 00:00:27.012000,1.0,96.189,28.462,40.715,27.012,2025,Singapore,R
RUS,39.0,0 days 00:01:36.248000,HARD,14.0,2.0,1,,,0 days 00:00:28.453000,0 days 00:00:40.708000,0 days 00:00:27.087000,1.0,96.248,28.453,40.708,27.087,2025,Singapore,R
RUS,40.0,0 days 00:01:36.357000,HARD,15.0,2.0,1,,,0 days 00:00:28.521000,0 days 00:00:40.744000,0 days 00:00:27.092000,1.0,96.357,28.521,40.744,27.092,2025,Singapore,R
RUS,41.0,0 days 00:01:36.128000,HARD,16.0,2.0,1,,,0 days 00:00:28.470000,0 days 00:00:40.689000,0 days 00:00:26.969000,1.0,96.128,28.47,40.689,26.969,2025,Singapore,R
RUS,42.0,0 days 00:01:37,HARD,17.0,2.0,1,,,0 days 00:00:28.553000,0 days 00:00:41.299000,0 days 00:00:27.148000,1.0,97.0,28.553,41.299,27.148,2025,Singapore,R
RUS,43.0,0 days 00:01:37.065000,HARD,18.0,2.0,1,,,0 days 00:00:28.590000,0 days 00:00:41.080000,0 days 00:00:27.395000,1.0,97.065,28.59,41.08,27.395,2025,Singapore,R
RUS,44.0,0 days 00:01:37.890000,HARD,19.0,2.0,1,,,0 days 00:00:28.735000,0 days 00:00:41.507000,0 days 00:00:27.648000,1.0,97.89,28.735,41.507,27.648,2025,Singapore,R
RUS,45.0,0 days 00:01:37.401000,HARD,20.0,2.0,12,,,0 days 00:00:28.624000,0 days 00:00:41.589000,0 days 00:00:27.188000,1.0,97.401,28.624,41.589,27.188,2025,Singapore,R
RUS,46.0,0 days 00:01:37.026000,HARD,21.0,2.0,1,,,0 days 00:00:28.617000,0 days 00:00:41.353000,0 days 00:00:27.056000,1.0,97.026,28.617,41.353,27.056,2025,Singapore,R
RUS,47.0,0 days 00:01:36.761000,HARD,22.0,2.0,1,,,0 days 00:00:28.601000,0 days 00:00:41.012000,0 days 00:00:27.148000,1.0,96.761,28.601,41.012,27.148,2025,Singapore,R
RUS,48.0,0 days 00:01:36.183000,HARD,23.0,2.0,1,,,0 days 00:00:28.519000,0 days 00:00:40.635000,0 days 00:00:27.029000,1.0,96.183,28.519,40.635,27.029,2025,Singapore,R
RUS,49.0,0 days 00:01:36.077000,HARD,24.0,2.0,1,,,0 days 00:00:28.493000,0 days 00:00:40.656000,0 days 00:00:26.928000,1.0,96.077,28.493,40.656,26.928,2025,Singapore,R
RUS,50.0,0 days 00:01:36.223000,HARD,25.0,2.0,1,,,0 days 00:00:28.464000,0 days 00:00:40.649000,0 days 00:00:27.110000,1.0,96.223,28.464,40.649,27.11,2025,Singapore,R
RUS,51.0,0 days 00:01:37.317000,HARD,26.0,2.0,1,,,0 days 00:00:28.559000,0 days 00:00:41.158000,0 days 00:00:27.600000,1.0,97.317,28.559,41.158,27.6,2025,Singapore,R
RUS,52.0,0 days 00:01:37.388000,HARD,27.0,2.0,1,,,0 days 00:00:28.764000,0 days 00:00:41.595000,0 days 00:00:27.029000,1.0,97.388,28.764,41.595,27.029,2025,Singapore,R
RUS,53.0,0 days 00:01:36.261000,HARD,28.0,2.0,1,,,0 days 00:00:28.516000,0 days 00:00:40.779000,0 days 00:00:26.966000,1.0,96.261,28.516,40.779,26.966,2025,Singapore,R
RUS,54.0,0 days 00:01:36.254000,HARD,29.0,2.0,1,,,0 days 00:00:28.469000,0 days 00:00:40.806000,0 days 00:00:26.979000,1.0,96.254,28.469,40.806,26.979,2025,Singapore,R
RUS,55.0,0 days 00:01:36.153000,HARD,30.0,2.0,1,,,0 days 00:00:28.398000,0 days 00:00:40.824000,0 days 00:00:26.931000,1.0,96.153,28.398,40.824,26.931,2025,Singapore,R
RUS,56.0,0 days 00:01:36.333000,HARD,31.0,2.0,1,,,0 days 00:00:28.509000,0 days 00:00:40.845000,0 days 00:00:26.979000,1.0,96.333,28.509,40.845,26.979,2025,Singapore,R
RUS,57.0,0 days 00:01:36.133000,HARD,32.0,2.0,1,,,0 days 00:00:28.460000,0 days 00:00:40.823000,0 days 00:00:26.850000,1.0,96.133,28.46,40.823,26.85,2025,Singapore,R
RUS,58.0,0 days 00:01:36.088000,HARD,33.0,2.0,1,,,0 days 00:00:28.436000,0 days 00:00:40.711000,0 days 00:00:26.941000,1.0,96.088,28.436,40.711,26.941,2025,Singapore,R
RUS,59.0,0 days 00:01:36.405000,HARD,34.0,2.0,1,,,0 days 00:00:28.511000,0 days 00:00:40.903000,0 days 00:00:26.991000,1.0,96.405,28.511,40.903,26.991,2025,Singapore,R
RUS,60.0,0 days 00:01:36.381000,HARD,35.0,2.0,1,,,0 days 00:00:28.536000,0 days 00:00:40.846000,0 days 00:00:26.999000,1.0,96.381,28.536,40.846,26.999,2025,Singapore,R
RUS,61.0,0 days 00:01:36.257000,HARD,36.0,2.0,1,,,0 days 00:00:28.465000,0 days 00:00:40.817000,0 days 00:00:26.975000,1.0,96.257,28.465,40.817,26.975,2025,Singapore,R
RUS,62.0,0 days 00:01:36.455000,HARD,37.0,2.0,1,,,0 days 00:00:28.421000,0 days 00:00:40.964000,0 days 00:00:27.070000,1.0,96.455,28.421,40.964,27.07,2025,Singapore,R
