Year,GrandPrix,Session,Driver,LapNumber,LapTimeSeconds,PreviousLapTime,Compound,CompoundEncoded,TyreLife,TyreLifeNormalized,Stint,StintLap,TrackStatus,IsPitLap,Position,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapTimeDelta
2024,Las Vegas,R,RUS,3.0,98.864,99.077,MEDIUM,1,4.0,0.2,1.0,2,1,0,1.0,28.368,33.152,37.344,-0.2129999999999938
2024,Las Vegas,R,RUS,4.0,98.748,98.864,MEDIUM,1,5.0,0.25,1.0,3,1,0,1.0,28.229,32.97,37.549,-0.1159999999999996
2024,Las Vegas,R,RUS,5.0,98.136,98.748,MEDIUM,1,6.0,0.3,1.0,4,1,0,1.0,28.341,32.594,37.201,-0.612000000000009
2024,Las Vegas,R,RUS,6.0,98.33,98.136,MEDIUM,1,7.0,0.35,1.0,5,1,0,1.0,28.217,33.033,37.08,0.1940000000000026
2024,Las Vegas,R,RUS,7.0,98.498,98.33,MEDIUM,1,8.0,0.4,1.0,6,1,0,1.0,28.127,33.232,37.139,0.1680000000000063
2024,Las Vegas,R,RUS,8.0,98.353,98.498,MEDIUM,1,9.0,0.45,1.0,7,1,0,1.0,28.106,33.174,37.073,-0.1450000000000102
2024,Las Vegas,R,RUS,9.0,98.751,98.353,MEDIUM,1,10.0,0.5,1.0,8,1,0,1.0,28.174,33.293,37.284,0.3980000000000103
2024,Las Vegas,R,RUS,10.0,98.681,98.751,MEDIUM,1,11.0,0.55,1.0,9,1,0,1.0,28.296,33.247,37.138,-0.0700000000000073
2024,Las Vegas,R,RUS,11.0,98.689,98.681,MEDIUM,1,12.0,0.6,1.0,10,1,0,1.0,28.305,33.335,37.049,0.0079999999999955
2024,Las Vegas,R,RUS,15.0,98.331,98.296,HARD,2,4.0,0.2,2.0,2,1,0,1.0,28.212,33.012,37.107,0.0349999999999965
2024,Las Vegas,R,RUS,16.0,97.913,98.331,HARD,2,5.0,0.25,2.0,3,1,0,1.0,28.035,32.943,36.935,-0.4180000000000063
2024,Las Vegas,R,RUS,17.0,97.869,97.913,HARD,2,6.0,0.3,2.0,4,1,0,1.0,28.025,32.926,36.918,-0.0439999999999969
2024,Las Vegas,R,RUS,18.0,97.964,97.869,HARD,2,7.0,0.35,2.0,5,1,0,1.0,28.028,32.974,36.962,0.0949999999999988
2024,Las Vegas,R,RUS,19.0,98.003,97.964,HARD,2,8.0,0.4,2.0,6,1,0,1.0,28.084,32.989,36.93,0.0390000000000014
2024,Las Vegas,R,RUS,20.0,97.733,98.003,HARD,2,9.0,0.45,2.0,7,1,0,1.0,27.982,32.966,36.785,-0.269999999999996
2024,Las Vegas,R,RUS,21.0,97.359,97.733,HARD,2,10.0,0.5,2.0,8,1,0,1.0,27.868,32.675,36.816,-0.3740000000000094
2024,Las Vegas,R,RUS,22.0,97.556,97.359,HARD,2,11.0,0.55,2.0,9,1,0,1.0,27.94,32.754,36.862,0.1970000000000027
