Time,Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,LapTimeSeconds,Year,GrandPrix
0 days 00:57:13.827000,PIA,1.0,0 days 00:01:38.693000,SOFT,4.0,1.0,1,,,98.693,2025,Bahrain
0 days 00:58:51.319000,PIA,2.0,0 days 00:01:37.492000,SOFT,5.0,1.0,1,,,97.492,2025,Bahrain
0 days 01:00:29.402000,PIA,3.0,0 days 00:01:38.083000,SOFT,6.0,1.0,1,,,98.083,2025,Bahrain
0 days 01:02:07.535000,PIA,4.0,0 days 00:01:38.133000,SOFT,7.0,1.0,1,,,98.133,2025,Bahrain
0 days 01:03:45.578000,PIA,5.0,0 days 00:01:38.043000,SOFT,8.0,1.0,1,,,98.043,2025,Bahrain
0 days 01:05:23.941000,PIA,6.0,0 days 00:01:38.363000,SOFT,9.0,1.0,1,,,98.363,2025,Bahrain
0 days 01:07:02.439000,PIA,7.0,0 days 00:01:38.498000,SOFT,10.0,1.0,1,,,98.498,2025,Bahrain
0 days 01:08:41.006000,PIA,8.0,0 days 00:01:38.567000,SOFT,11.0,1.0,1,,,98.567,2025,Bahrain
0 days 01:10:19.806000,PIA,9.0,0 days 00:01:38.800000,SOFT,12.0,1.0,1,,,98.8,2025,Bahrain
0 days 01:11:58.355000,PIA,10.0,0 days 00:01:38.549000,SOFT,13.0,1.0,1,,,98.549,2025,Bahrain
0 days 01:13:37.036000,PIA,11.0,0 days 00:01:38.681000,SOFT,14.0,1.0,1,,,98.681,2025,Bahrain
0 days 01:15:16.064000,PIA,12.0,0 days 00:01:39.028000,SOFT,15.0,1.0,1,,,99.028,2025,Bahrain
0 days 01:16:54.827000,PIA,13.0,0 days 00:01:38.763000,SOFT,16.0,1.0,1,,,98.763,2025,Bahrain
0 days 01:18:36.124000,PIA,14.0,0 days 00:01:41.297000,SOFT,17.0,1.0,1,0 days 01:18:34.427000,,101.297,2025,Bahrain
0 days 01:20:34.980000,PIA,15.0,0 days 00:01:58.856000,MEDIUM,1.0,2.0,1,,0 days 01:18:58.980000,118.856,2025,Bahrain
0 days 01:22:13.043000,PIA,16.0,0 days 00:01:38.063000,MEDIUM,2.0,2.0,1,,,98.063,2025,Bahrain
0 days 01:23:50.776000,PIA,17.0,0 days 00:01:37.733000,MEDIUM,3.0,2.0,1,,,97.733,2025,Bahrain
0 days 01:25:28.464000,PIA,18.0,0 days 00:01:37.688000,MEDIUM,4.0,2.0,1,,,97.688,2025,Bahrain
0 days 01:27:06.355000,PIA,19.0,0 days 00:01:37.891000,MEDIUM,5.0,2.0,1,,,97.891,2025,Bahrain
0 days 01:28:43.859000,PIA,20.0,0 days 00:01:37.504000,MEDIUM,6.0,2.0,1,,,97.504,2025,Bahrain
0 days 01:30:21.571000,PIA,21.0,0 days 00:01:37.712000,MEDIUM,7.0,2.0,1,,,97.712,2025,Bahrain
0 days 01:31:58.713000,PIA,22.0,0 days 00:01:37.142000,MEDIUM,8.0,2.0,1,,,97.142,2025,Bahrain
0 days 01:33:36.646000,PIA,23.0,0 days 00:01:37.933000,MEDIUM,9.0,2.0,1,,,97.933,2025,Bahrain
0 days 01:35:14.280000,PIA,24.0,0 days 00:01:37.634000,MEDIUM,10.0,2.0,1,,,97.634,2025,Bahrain
0 days 01:36:52.091000,PIA,25.0,0 days 00:01:37.811000,MEDIUM,11.0,2.0,1,,,97.811,2025,Bahrain
0 days 01:38:29.481000,PIA,26.0,0 days 00:01:37.390000,MEDIUM,12.0,2.0,1,,,97.39,2025,Bahrain
0 days 01:40:07.060000,PIA,27.0,0 days 00:01:37.579000,MEDIUM,13.0,2.0,1,,,97.579,2025,Bahrain
0 days 01:41:44.753000,PIA,28.0,0 days 00:01:37.693000,MEDIUM,14.0,2.0,1,,,97.693,2025,Bahrain
0 days 01:43:22.430000,PIA,29.0,0 days 00:01:37.677000,MEDIUM,15.0,2.0,1,,,97.677,2025,Bahrain
0 days 01:45:00.241000,PIA,30.0,0 days 00:01:37.811000,MEDIUM,16.0,2.0,1,,,97.811,2025,Bahrain
0 days 01:46:37.797000,PIA,31.0,0 days 00:01:37.556000,MEDIUM,17.0,2.0,1,,,97.556,2025,Bahrain
0 days 01:48:26.499000,PIA,32.0,0 days 00:01:48.702000,MEDIUM,18.0,2.0,14,0 days 01:48:24.783000,,108.702,2025,Bahrain
0 days 01:51:12.577000,PIA,33.0,,MEDIUM,1.0,3.0,4,,0 days 01:48:49.751000,,2025,Bahrain
0 days 01:53:33.140000,PIA,34.0,0 days 00:02:20.563000,MEDIUM,2.0,3.0,4,,,140.563,2025,Bahrain
0 days 01:55:59.373000,PIA,35.0,0 days 00:02:26.233000,MEDIUM,3.0,3.0,41,,,146.233,2025,Bahrain
0 days 01:57:34.513000,PIA,36.0,0 days 00:01:35.140000,MEDIUM,4.0,3.0,1,,,95.14,2025,Bahrain
0 days 01:59:09.888000,PIA,37.0,0 days 00:01:35.375000,MEDIUM,5.0,3.0,1,,,95.375,2025,Bahrain
0 days 02:00:45.885000,PIA,38.0,0 days 00:01:35.997000,MEDIUM,6.0,3.0,1,,,95.997,2025,Bahrain
0 days 02:02:22.059000,PIA,39.0,0 days 00:01:36.174000,MEDIUM,7.0,3.0,1,,,96.174,2025,Bahrain
0 days 02:03:58.419000,PIA,40.0,0 days 00:01:36.360000,MEDIUM,8.0,3.0,1,,,96.36,2025,Bahrain
