Year,GrandPrix,Session,Driver,LapNumber,LapTimeSeconds,PreviousLapTime,Compound,CompoundEncoded,TyreLife,TyreLifeNormalized,Stint,StintLap,TrackStatus,IsPitLap,Position,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapTimeDelta
2025,Barcelona-Catalunya,R,RUS,3.0,81.385,81.564,SOFT,0,6.0,0.2727272727272727,1.0,2,1,0,6.0,24.145,32.846,24.394,-0.17899999999998784
2025,Barcelona-Catalunya,R,RUS,4.0,81.126,81.385,SOFT,0,7.0,0.3181818181818182,1.0,3,1,0,6.0,24.09,32.71,24.326,-0.25900000000000034
2025,Barcelona-Catalunya,R,RUS,5.0,81.13,81.126,SOFT,0,8.0,0.36363636363636365,1.0,4,1,0,6.0,24.05,32.694,24.386,0.003999999999990678
2025,Barcelona-Catalunya,R,RUS,6.0,81.383,81.13,SOFT,0,9.0,0.4090909090909091,1.0,5,1,0,6.0,24.069,32.786,24.528,0.2530000000000001
2025,Barcelona-Catalunya,R,RUS,7.0,81.684,81.383,SOFT,0,10.0,0.45454545454545453,1.0,6,1,0,6.0,24.067,32.977,24.64,0.30100000000000193
2025,Barcelona-Catalunya,R,RUS,8.0,81.738,81.684,SOFT,0,11.0,0.5,1.0,7,1,0,6.0,23.979,33.09,24.669,0.054000000000002046
2025,Barcelona-Catalunya,R,RUS,9.0,82.136,81.738,SOFT,0,12.0,0.5454545454545454,1.0,8,1,0,6.0,24.142,33.224,24.77,0.39799999999999613
2025,Barcelona-Catalunya,R,RUS,10.0,82.081,82.136,SOFT,0,13.0,0.5909090909090909,1.0,9,1,0,6.0,24.162,33.205,24.714,-0.05499999999999261
2025,Barcelona-Catalunya,R,RUS,11.0,81.472,82.081,SOFT,0,14.0,0.6363636363636364,1.0,10,1,0,6.0,23.882,32.927,24.663,-0.6090000000000089
2025,Barcelona-Catalunya,R,RUS,12.0,81.625,81.472,SOFT,0,15.0,0.6818181818181818,1.0,11,1,0,6.0,23.868,32.993,24.764,0.1530000000000058
2025,Barcelona-Catalunya,R,RUS,13.0,82.055,81.625,SOFT,0,16.0,0.7272727272727273,1.0,12,1,0,6.0,24.132,33.159,24.764,0.4300000000000068
2025,Barcelona-Catalunya,R,RUS,14.0,82.339,82.055,SOFT,0,17.0,0.7727272727272727,1.0,13,1,0,5.0,24.081,33.471,24.787,0.2839999999999918
2025,Barcelona-Catalunya,R,RUS,15.0,81.968,82.339,SOFT,0,18.0,0.8181818181818182,1.0,14,1,0,5.0,24.108,33.173,24.687,-0.3709999999999951
2025,Barcelona-Catalunya,R,RUS,16.0,81.547,81.968,SOFT,0,19.0,0.8636363636363636,1.0,15,1,0,4.0,23.908,32.982,24.657,-0.4210000000000065
2025,Barcelona-Catalunya,R,RUS,17.0,81.382,81.547,SOFT,0,20.0,0.9090909090909091,1.0,16,1,0,4.0,23.925,32.868,24.589,-0.16499999999999204
2025,Barcelona-Catalunya,R,RUS,18.0,81.732,81.382,SOFT,0,21.0,0.9545454545454546,1.0,17,1,0,3.0,24.064,33.034,24.634,0.3499999999999943
2025,Barcelona-Catalunya,R,RUS,19.0,82.971,81.732,SOFT,0,22.0,1.0,1.0,18,1,0,4.0,24.056,33.936,24.979,1.2390000000000043
2025,Barcelona-Catalunya,R,RUS,23.0,79.512,79.163,MEDIUM,1,3.0,0.13636363636363635,2.0,2,1,0,6.0,23.43,32.202,23.88,0.34900000000000375
2025,Barcelona-Catalunya,R,RUS,24.0,80.074,79.512,MEDIUM,1,4.0,0.18181818181818182,2.0,3,1,0,6.0,23.562,32.341,24.171,0.5619999999999976
2025,Barcelona-Catalunya,R,RUS,25.0,80.411,80.074,MEDIUM,1,5.0,0.22727272727272727,2.0,4,1,0,6.0,23.727,32.467,24.217,0.3370000000000033
2025,Barcelona-Catalunya,R,RUS,26.0,80.592,80.411,MEDIUM,1,6.0,0.2727272727272727,2.0,5,1,0,6.0,23.758,32.596,24.238,0.18099999999999739
2025,Barcelona-Catalunya,R,RUS,27.0,80.311,80.592,MEDIUM,1,7.0,0.3181818181818182,2.0,6,1,0,6.0,23.703,32.48,24.128,-0.2809999999999917
2025,Barcelona-Catalunya,R,RUS,28.0,80.726,80.311,MEDIUM,1,8.0,0.36363636363636365,2.0,7,1,0,6.0,23.823,32.691,24.212,0.41499999999999204
2025,Barcelona-Catalunya,R,RUS,29.0,80.349,80.726,MEDIUM,1,9.0,0.4090909090909091,2.0,8,1,0,6.0,23.645,32.547,24.157,-0.37699999999999534
2025,Barcelona-Catalunya,R,RUS,30.0,80.427,80.349,MEDIUM,1,10.0,0.45454545454545453,2.0,9,1,0,6.0,23.711,32.499,24.217,0.07800000000000296
2025,Barcelona-Catalunya,R,RUS,31.0,80.421,80.427,MEDIUM,1,11.0,0.5,2.0,10,1,0,6.0,23.569,32.571,24.281,-0.006000000000000227
2025,Barcelona-Catalunya,R,RUS,32.0,80.533,80.421,MEDIUM,1,12.0,0.5454545454545454,2.0,11,1,0,6.0,23.589,32.674,24.27,0.11199999999999477
2025,Barcelona-Catalunya,R,RUS,33.0,80.669,80.533,MEDIUM,1,13.0,0.5909090909090909,2.0,12,1,0,6.0,23.799,32.62,24.25,0.13599999999999568
2025,Barcelona-Catalunya,R,RUS,34.0,80.421,80.669,MEDIUM,1,14.0,0.6363636363636364,2.0,13,1,0,6.0,23.732,32.518,24.171,-0.24799999999999045
2025,Barcelona-Catalunya,R,RUS,35.0,80.619,80.421,MEDIUM,1,15.0,0.6818181818181818,2.0,14,1,0,6.0,23.654,32.668,24.297,0.1979999999999933
2025,Barcelona-Catalunya,R,RUS,36.0,80.368,80.619,MEDIUM,1,16.0,0.7272727272727273,2.0,15,1,0,6.0,23.662,32.474,24.232,-0.2510000000000048
2025,Barcelona-Catalunya,R,RUS,37.0,80.537,80.368,MEDIUM,1,17.0,0.7727272727272727,2.0,16,1,0,6.0,23.594,32.628,24.315,0.16900000000001114
2025,Barcelona-Catalunya,R,RUS,38.0,80.524,80.537,MEDIUM,1,18.0,0.8181818181818182,2.0,17,1,0,6.0,23.643,32.591,24.29,-0.01300000000000523
2025,Barcelona-Catalunya,R,RUS,39.0,80.499,80.524,MEDIUM,1,19.0,0.8636363636363636,2.0,18,1,0,6.0,23.57,32.623,24.306,-0.025000000000005684
2025,Barcelona-Catalunya,R,RUS,40.0,80.888,80.499,MEDIUM,1,20.0,0.9090909090909091,2.0,19,1,0,6.0,23.595,32.691,24.602,0.38900000000001
2025,Barcelona-Catalunya,R,RUS,44.0,79.079,78.437,SOFT,0,3.0,0.13636363636363635,3.0,2,1,0,6.0,23.446,31.98,23.653,0.6419999999999959
2025,Barcelona-Catalunya,R,RUS,45.0,79.176,79.079,SOFT,0,4.0,0.18181818181818182,3.0,3,1,0,6.0,23.553,31.845,23.778,0.09700000000000841
2025,Barcelona-Catalunya,R,RUS,46.0,79.351,79.176,SOFT,0,5.0,0.22727272727272727,3.0,4,1,0,6.0,23.553,31.912,23.886,0.17499999999999716
2025,Barcelona-Catalunya,R,RUS,47.0,79.393,79.351,SOFT,0,6.0,0.2727272727272727,3.0,5,1,0,5.0,23.478,32.052,23.863,0.04200000000000159
2025,Barcelona-Catalunya,R,RUS,48.0,79.047,79.393,SOFT,0,7.0,0.3181818181818182,3.0,6,1,0,5.0,23.359,31.866,23.822,-0.34600000000000364
2025,Barcelona-Catalunya,R,RUS,49.0,79.121,79.047,SOFT,0,8.0,0.36363636363636365,3.0,7,1,0,5.0,23.465,31.96,23.696,0.07399999999999807
2025,Barcelona-Catalunya,R,RUS,50.0,79.416,79.121,SOFT,0,9.0,0.4090909090909091,3.0,8,1,0,5.0,23.404,32.086,23.926,0.2950000000000017
2025,Barcelona-Catalunya,R,RUS,51.0,79.471,79.416,SOFT,0,10.0,0.45454545454545453,3.0,9,1,0,5.0,23.439,32.141,23.891,0.05500000000000682
2025,Barcelona-Catalunya,R,RUS,52.0,79.28,79.471,SOFT,0,11.0,0.5,3.0,10,1,0,5.0,23.24,32.092,23.948,-0.1910000000000025
2025,Barcelona-Catalunya,R,RUS,53.0,79.426,79.28,SOFT,0,12.0,0.5454545454545454,3.0,11,1,0,5.0,23.469,32.045,23.912,0.1460000000000008
2025,Barcelona-Catalunya,R,RUS,54.0,79.578,79.426,SOFT,0,13.0,0.5909090909090909,3.0,12,1,0,5.0,23.432,32.106,24.04,0.15200000000000102
2025,Barcelona-Catalunya,R,RUS,62.0,77.244,78.843,SOFT,0,10.0,0.45454545454545453,4.0,2,1,0,5.0,22.988,31.092,23.164,-1.5990000000000038
2025,Barcelona-Catalunya,R,RUS,63.0,77.594,77.244,SOFT,0,11.0,0.5,4.0,3,1,0,5.0,22.746,31.382,23.466,0.3499999999999943
2025,Barcelona-Catalunya,R,RUS,64.0,78.793,77.594,SOFT,0,12.0,0.5454545454545454,4.0,4,1,0,4.0,22.737,32.309,23.747,1.1990000000000123
2025,Barcelona-Catalunya,R,RUS,65.0,77.749,78.793,SOFT,0,13.0,0.5909090909090909,4.0,5,1,0,4.0,22.926,31.497,23.326,-1.0440000000000111
2025,Barcelona-Catalunya,R,RUS,66.0,78.569,77.749,SOFT,0,14.0,0.6363636363636364,4.0,6,1,0,4.0,22.874,31.938,23.757,0.8200000000000074
