Year,GrandPrix,Session,Driver,LapNumber,LapTimeSeconds,PreviousLapTime,Compound,CompoundEncoded,TyreLife,TyreLifeNormalized,Stint,StintLap,TrackStatus,IsPitLap,Position,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapTimeDelta
2025,Canada,R,RUS,3.0,76.253,76.437,MEDIUM,1,6.0,0.20689655172413793,1.0,2,1,0,1.0,21.332,24.19,30.731,-0.1839999999999975
2025,Canada,R,RUS,4.0,75.986,76.253,MEDIUM,1,7.0,0.2413793103448276,1.0,3,1,0,1.0,21.298,24.026,30.662,-0.2669999999999959
2025,Canada,R,RUS,5.0,75.808,75.986,MEDIUM,1,8.0,0.27586206896551724,1.0,4,1,0,1.0,21.283,23.963,30.562,-0.17799999999999727
2025,Canada,R,RUS,6.0,75.984,75.808,MEDIUM,1,9.0,0.3103448275862069,1.0,5,1,0,1.0,21.239,23.965,30.78,0.17599999999998772
2025,Canada,R,RUS,7.0,76.384,75.984,MEDIUM,1,10.0,0.3448275862068966,1.0,6,1,0,1.0,21.373,24.161,30.85,0.4000000000000057
2025,Canada,R,RUS,8.0,76.413,76.384,MEDIUM,1,11.0,0.3793103448275862,1.0,7,1,0,1.0,21.47,24.177,30.766,0.028999999999996362
2025,Canada,R,RUS,9.0,76.608,76.413,MEDIUM,1,12.0,0.41379310344827586,1.0,8,1,0,1.0,21.44,24.282,30.886,0.1950000000000074
2025,Canada,R,RUS,10.0,76.538,76.608,MEDIUM,1,13.0,0.4482758620689655,1.0,9,1,0,1.0,21.417,24.176,30.945,-0.07000000000000739
2025,Canada,R,RUS,11.0,76.558,76.538,MEDIUM,1,14.0,0.4827586206896552,1.0,10,1,0,1.0,21.405,24.283,30.87,0.020000000000010232
2025,Canada,R,RUS,12.0,76.715,76.558,MEDIUM,1,15.0,0.5172413793103449,1.0,11,1,0,1.0,21.455,24.372,30.888,0.15699999999999648
2025,Canada,R,RUS,16.0,75.866,76.816,HARD,2,4.0,0.13793103448275862,2.0,2,1,0,3.0,21.199,24.04,30.627,-0.9500000000000028
2025,Canada,R,RUS,17.0,75.817,75.866,HARD,2,5.0,0.1724137931034483,2.0,3,1,0,3.0,21.238,23.999,30.58,-0.049000000000006594
2025,Canada,R,RUS,18.0,75.914,75.817,HARD,2,6.0,0.20689655172413793,2.0,4,1,0,3.0,21.246,24.091,30.577,0.09700000000000841
2025,Canada,R,RUS,19.0,75.89,75.914,HARD,2,7.0,0.2413793103448276,2.0,5,1,0,3.0,21.339,24.065,30.486,-0.02400000000000091
2025,Canada,R,RUS,20.0,75.872,75.89,HARD,2,8.0,0.27586206896551724,2.0,6,1,0,3.0,21.249,24.009,30.614,-0.018000000000000682
2025,Canada,R,RUS,21.0,76.013,75.872,HARD,2,9.0,0.3103448275862069,2.0,7,1,0,3.0,21.313,24.103,30.597,0.14100000000000534
2025,Canada,R,RUS,22.0,76.089,76.013,HARD,2,10.0,0.3448275862068966,2.0,8,1,0,3.0,21.259,24.216,30.614,0.0759999999999934
2025,Canada,R,RUS,23.0,75.993,76.089,HARD,2,11.0,0.3793103448275862,2.0,9,1,0,3.0,21.346,24.033,30.614,-0.09600000000000364
2025,Canada,R,RUS,24.0,75.735,75.993,HARD,2,12.0,0.41379310344827586,2.0,10,1,0,3.0,21.259,23.975,30.501,-0.25799999999999557
2025,Canada,R,RUS,25.0,75.563,75.735,HARD,2,13.0,0.4482758620689655,2.0,11,1,0,3.0,21.185,23.989,30.389,-0.17199999999999704
2025,Canada,R,RUS,26.0,75.299,75.563,HARD,2,14.0,0.4827586206896552,2.0,12,1,0,2.0,21.239,23.855,30.205,-0.2639999999999958
2025,Canada,R,RUS,27.0,76.043,75.299,HARD,2,15.0,0.5172413793103449,2.0,13,1,0,2.0,21.358,24.0,30.685,0.7439999999999998
2025,Canada,R,RUS,28.0,75.759,76.043,HARD,2,16.0,0.5517241379310345,2.0,14,1,0,2.0,21.181,24.002,30.576,-0.284000000000006
2025,Canada,R,RUS,29.0,75.986,75.759,HARD,2,17.0,0.5862068965517241,2.0,15,1,0,1.0,21.266,24.113,30.607,0.22700000000000387
2025,Canada,R,RUS,30.0,75.648,75.986,HARD,2,18.0,0.6206896551724138,2.0,16,1,0,1.0,21.17,23.916,30.562,-0.33800000000000807
2025,Canada,R,RUS,31.0,75.564,75.648,HARD,2,19.0,0.6551724137931034,2.0,17,1,0,1.0,21.269,23.939,30.356,-0.08400000000000318
2025,Canada,R,RUS,32.0,75.422,75.564,HARD,2,20.0,0.6896551724137931,2.0,18,1,0,1.0,21.061,23.93,30.431,-0.1419999999999959
