Year,GrandPrix,Session,Driver,LapNumber,LapTimeSeconds,PreviousLapTime,Compound,CompoundEncoded,TyreLife,TyreLifeNormalized,Stint,StintLap,TrackStatus,IsPitLap,Position,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapTimeDelta
2025,Japan,R,RUS,3.0,94.204,94.191,MEDIUM,1,3.0,0.08823529411764706,1.0,2,1,0,5.0,33.652,42.334,18.218,0.012999999999991019
2025,Japan,R,RUS,4.0,94.057,94.204,MEDIUM,1,4.0,0.11764705882352941,1.0,3,1,0,5.0,33.511,42.48,18.066,-0.14699999999999136
2025,Japan,R,RUS,5.0,93.795,94.057,MEDIUM,1,5.0,0.14705882352941177,1.0,4,1,0,5.0,33.241,42.398,18.156,-0.26200000000000045
2025,Japan,R,RUS,6.0,93.922,93.795,MEDIUM,1,6.0,0.17647058823529413,1.0,5,1,0,5.0,33.263,42.485,18.174,0.12699999999999534
2025,Japan,R,RUS,7.0,94.181,93.922,MEDIUM,1,7.0,0.20588235294117646,1.0,6,1,0,5.0,33.194,42.793,18.194,0.25900000000000034
2025,Japan,R,RUS,8.0,93.798,94.181,MEDIUM,1,8.0,0.23529411764705882,1.0,7,1,0,5.0,32.911,42.645,18.242,-0.38299999999999557
2025,Japan,R,RUS,9.0,93.816,93.798,MEDIUM,1,9.0,0.2647058823529412,1.0,8,1,0,5.0,32.847,42.697,18.272,0.018000000000000682
2025,Japan,R,RUS,10.0,93.603,93.816,MEDIUM,1,10.0,0.29411764705882354,1.0,9,1,0,5.0,32.889,42.573,18.141,-0.21300000000000807
2025,Japan,R,RUS,11.0,93.883,93.603,MEDIUM,1,11.0,0.3235294117647059,1.0,10,1,0,5.0,33.054,42.636,18.193,0.28000000000000114
2025,Japan,R,RUS,12.0,93.864,93.883,MEDIUM,1,12.0,0.35294117647058826,1.0,11,1,0,5.0,32.851,42.747,18.266,-0.018999999999991246
2025,Japan,R,RUS,13.0,93.815,93.864,MEDIUM,1,13.0,0.38235294117647056,1.0,12,1,0,5.0,32.854,42.613,18.348,-0.049000000000006594
2025,Japan,R,RUS,14.0,93.658,93.815,MEDIUM,1,14.0,0.4117647058823529,1.0,13,1,0,5.0,32.727,42.719,18.212,-0.15699999999999648
2025,Japan,R,RUS,15.0,93.707,93.658,MEDIUM,1,15.0,0.4411764705882353,1.0,14,1,0,5.0,32.857,42.615,18.235,0.04899999999999238
2025,Japan,R,RUS,16.0,93.86,93.707,MEDIUM,1,16.0,0.47058823529411764,1.0,15,1,0,5.0,32.849,42.815,18.196,0.1530000000000058
2025,Japan,R,RUS,17.0,93.834,93.86,MEDIUM,1,17.0,0.5,1.0,16,1,0,5.0,32.852,42.709,18.273,-0.02599999999999625
2025,Japan,R,RUS,18.0,93.966,93.834,MEDIUM,1,18.0,0.5294117647058824,1.0,17,1,0,5.0,33.069,42.602,18.295,0.1319999999999908
2025,Japan,R,RUS,22.0,94.123,93.237,HARD,2,3.0,0.08823529411764706,2.0,2,1,0,11.0,33.574,42.54,18.009,0.8860000000000099
2025,Japan,R,RUS,23.0,93.278,94.123,HARD,2,4.0,0.11764705882352941,2.0,3,1,0,11.0,32.933,42.302,18.043,-0.8449999999999989
2025,Japan,R,RUS,24.0,94.34,93.278,HARD,2,5.0,0.14705882352941177,2.0,4,1,0,9.0,33.074,42.546,18.72,1.0619999999999976
2025,Japan,R,RUS,25.0,92.913,94.34,HARD,2,6.0,0.17647058823529413,2.0,5,1,0,8.0,32.543,42.226,18.144,-1.4270000000000067
2025,Japan,R,RUS,26.0,92.411,92.913,HARD,2,7.0,0.20588235294117646,2.0,6,1,0,7.0,32.412,41.908,18.091,-0.5019999999999953
2025,Japan,R,RUS,27.0,92.611,92.411,HARD,2,8.0,0.23529411764705882,2.0,7,1,0,7.0,32.48,42.064,18.067,0.20000000000000284
2025,Japan,R,RUS,28.0,92.488,92.611,HARD,2,9.0,0.2647058823529412,2.0,8,1,0,7.0,32.344,42.129,18.015,-0.12300000000000466
2025,Japan,R,RUS,29.0,92.407,92.488,HARD,2,10.0,0.29411764705882354,2.0,9,1,0,7.0,32.201,42.133,18.073,-0.08100000000000307
2025,Japan,R,RUS,30.0,92.359,92.407,HARD,2,11.0,0.3235294117647059,2.0,10,1,0,7.0,32.144,42.162,18.053,-0.04800000000000182
2025,Japan,R,RUS,31.0,92.143,92.359,HARD,2,12.0,0.35294117647058826,2.0,11,1,0,6.0,31.991,42.114,18.038,-0.21599999999999397
2025,Japan,R,RUS,32.0,92.031,92.143,HARD,2,13.0,0.38235294117647056,2.0,12,1,0,5.0,32.056,41.982,17.993,-0.11199999999999477
2025,Japan,R,RUS,33.0,92.08,92.031,HARD,2,14.0,0.4117647058823529,2.0,13,1,0,5.0,32.014,41.996,18.07,0.04899999999999238
2025,Japan,R,RUS,34.0,92.219,92.08,HARD,2,15.0,0.4411764705882353,2.0,14,1,0,5.0,32.209,42.012,17.998,0.1389999999999958
2025,Japan,R,RUS,35.0,91.936,92.219,HARD,2,16.0,0.47058823529411764,2.0,15,1,0,5.0,31.869,42.031,18.036,-0.28299999999998704
2025,Japan,R,RUS,36.0,91.823,91.936,HARD,2,17.0,0.5,2.0,16,1,0,5.0,31.869,42.02,17.934,-0.11300000000001376
2025,Japan,R,RUS,37.0,91.868,91.823,HARD,2,18.0,0.5294117647058824,2.0,17,1,0,5.0,31.95,41.891,18.027,0.045000000000001705
2025,Japan,R,RUS,38.0,91.84,91.868,HARD,2,19.0,0.5588235294117647,2.0,18,1,0,5.0,31.851,41.979,18.01,-0.027999999999991587
2025,Japan,R,RUS,39.0,92.073,91.84,HARD,2,20.0,0.5882352941176471,2.0,19,1,0,5.0,31.946,42.123,18.004,0.23299999999998988
2025,Japan,R,RUS,40.0,91.915,92.073,HARD,2,21.0,0.6176470588235294,2.0,20,1,0,5.0,31.831,42.082,18.002,-0.15799999999998704
2025,Japan,R,RUS,41.0,91.895,91.915,HARD,2,22.0,0.6470588235294118,2.0,21,1,0,5.0,31.784,42.125,17.986,-0.020000000000010232
2025,Japan,R,RUS,42.0,92.135,91.895,HARD,2,23.0,0.6764705882352942,2.0,22,1,0,5.0,31.928,42.217,17.99,0.2400000000000091
2025,Japan,R,RUS,43.0,91.923,92.135,HARD,2,24.0,0.7058823529411765,2.0,23,1,0,5.0,31.806,42.081,18.036,-0.2120000000000033
2025,Japan,R,RUS,44.0,91.778,91.923,HARD,2,25.0,0.7352941176470589,2.0,24,1,0,5.0,31.725,42.056,17.997,-0.14499999999999602
2025,Japan,R,RUS,45.0,91.625,91.778,HARD,2,26.0,0.7647058823529411,2.0,25,1,0,5.0,31.602,41.949,18.074,-0.1530000000000058
2025,Japan,R,RUS,46.0,91.552,91.625,HARD,2,27.0,0.7941176470588235,2.0,26,1,0,5.0,31.605,42.027,17.92,-0.07299999999999329
2025,Japan,R,RUS,47.0,91.598,91.552,HARD,2,28.0,0.8235294117647058,2.0,27,1,0,5.0,31.72,41.885,17.993,0.04599999999999227
2025,Japan,R,RUS,48.0,91.543,91.598,HARD,2,29.0,0.8529411764705882,2.0,28,1,0,5.0,31.588,41.971,17.984,-0.05499999999999261
2025,Japan,R,RUS,49.0,91.609,91.543,HARD,2,30.0,0.8823529411764706,2.0,29,1,0,5.0,31.597,41.947,18.065,0.06599999999998829
2025,Japan,R,RUS,50.0,91.37,91.609,HARD,2,31.0,0.9117647058823529,2.0,30,1,0,5.0,31.402,41.945,18.023,-0.2389999999999901
2025,Japan,R,RUS,51.0,91.357,91.37,HARD,2,32.0,0.9411764705882353,2.0,31,1,0,5.0,31.474,41.914,17.969,-0.01300000000000523
2025,Japan,R,RUS,52.0,91.627,91.357,HARD,2,33.0,0.9705882352941176,2.0,32,1,0,5.0,31.468,41.982,18.177,0.269999999999996
2025,Japan,R,RUS,53.0,91.431,91.627,HARD,2,34.0,1.0,2.0,33,1,0,5.0,31.354,41.991,18.086,-0.19599999999999795
