LapNumber,LapTimeSeconds,Compound,CompoundEncoded,TyreLife,TyreLifeNormalized,Stint,StintLap,TrackStatus,IsPitLap,LapTimeDelta
2.0,99.149,MEDIUM,1,2.0,0.05405405405405406,1.0,2,1,0,-4.756
3.0,98.035,MEDIUM,1,3.0,0.08108108108108109,1.0,3,1,0,-1.1140000000000043
4.0,97.57,MEDIUM,1,4.0,0.10810810810810811,1.0,4,1,0,-0.4650000000000034
5.0,97.184,MEDIUM,1,5.0,0.13513513513513514,1.0,5,1,0,-0.3859999999999957
6.0,96.854,MEDIUM,1,6.0,0.16216216216216217,1.0,6,1,0,-0.3299999999999983
7.0,96.768,MEDIUM,1,7.0,0.1891891891891892,1.0,7,12,0,-0.08599999999999852
8.0,96.655,MEDIUM,1,8.0,0.21621621621621623,1.0,8,1,0,-0.11299999999999955
9.0,96.726,MEDIUM,1,9.0,0.24324324324324326,1.0,9,1,0,0.07099999999999795
10.0,96.665,MEDIUM,1,10.0,0.2702702702702703,1.0,10,1,0,-0.06099999999999284
11.0,96.712,MEDIUM,1,11.0,0.2972972972972973,1.0,11,1,0,0.046999999999997044
12.0,96.485,MEDIUM,1,12.0,0.32432432432432434,1.0,12,1,0,-0.22700000000000387
13.0,96.63,MEDIUM,1,13.0,0.35135135135135137,1.0,13,1,0,0.14499999999999602
14.0,96.822,MEDIUM,1,14.0,0.3783783783783784,1.0,14,1,0,0.19200000000000728
15.0,97.152,MEDIUM,1,15.0,0.40540540540540543,1.0,15,1,0,0.3299999999999983
16.0,96.903,MEDIUM,1,16.0,0.43243243243243246,1.0,16,1,0,-0.24899999999999523
17.0,96.973,MEDIUM,1,17.0,0.4594594594594595,1.0,17,1,0,0.06999999999999318
18.0,97.039,MEDIUM,1,18.0,0.4864864864864865,1.0,18,1,0,0.0660000000000025
19.0,96.916,MEDIUM,1,19.0,0.5135135135135135,1.0,19,1,0,-0.12300000000000466
20.0,97.259,MEDIUM,1,20.0,0.5405405405405406,1.0,20,1,0,0.3430000000000035
21.0,97.109,MEDIUM,1,21.0,0.5675675675675675,1.0,21,1,0,-0.15000000000000568
22.0,97.226,MEDIUM,1,22.0,0.5945945945945946,1.0,22,1,0,0.11700000000000443
23.0,97.158,MEDIUM,1,23.0,0.6216216216216216,1.0,23,1,0,-0.06799999999999784
24.0,97.199,MEDIUM,1,24.0,0.6486486486486487,1.0,24,1,0,0.04099999999999682
25.0,103.178,MEDIUM,1,25.0,0.6756756756756757,1.0,25,1,1,5.978999999999999
