Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
ANT,2.0,0 days 00:01:38.187000,SOFT,5.0,1.0,1,,,0 days 00:00:31.202000,0 days 00:00:42.869000,0 days 00:00:24.116000,7.0,98.187,31.202,42.869,24.116,2025,Bahrain,R
ANT,3.0,0 days 00:01:38.427000,SOFT,6.0,1.0,1,,,0 days 00:00:31.022000,0 days 00:00:43.195000,0 days 00:00:24.210000,7.0,98.427,31.022,43.195,24.21,2025,Bahrain,R
ANT,4.0,0 days 00:01:38.564000,SOFT,7.0,1.0,1,,,0 days 00:00:31.110000,0 days 00:00:43.098000,0 days 00:00:24.356000,7.0,98.564,31.11,43.098,24.356,2025,Bahrain,R
ANT,5.0,0 days 00:01:38.520000,SOFT,8.0,1.0,1,,,0 days 00:00:31.276000,0 days 00:00:43.027000,0 days 00:00:24.217000,6.0,98.52,31.276,43.027,24.217,2025,Bahrain,R
ANT,6.0,0 days 00:01:38.634000,SOFT,9.0,1.0,1,,,0 days 00:00:31.381000,0 days 00:00:42.994000,0 days 00:00:24.259000,6.0,98.634,31.381,42.994,24.259,2025,Bahrain,R
ANT,7.0,0 days 00:01:38.905000,SOFT,10.0,1.0,1,,,0 days 00:00:31.347000,0 days 00:00:43.190000,0 days 00:00:24.368000,6.0,98.905,31.347,43.19,24.368,2025,Bahrain,R
ANT,8.0,0 days 00:01:39.197000,SOFT,11.0,1.0,1,,,0 days 00:00:31.492000,0 days 00:00:43.276000,0 days 00:00:24.429000,6.0,99.197,31.492,43.276,24.429,2025,Bahrain,R
ANT,9.0,0 days 00:01:39.646000,SOFT,12.0,1.0,1,,,0 days 00:00:31.431000,0 days 00:00:43.668000,0 days 00:00:24.547000,6.0,99.646,31.431,43.668,24.547,2025,Bahrain,R
ANT,10.0,0 days 00:01:39.467000,SOFT,13.0,1.0,1,,,0 days 00:00:31.633000,0 days 00:00:43.431000,0 days 00:00:24.403000,5.0,99.467,31.633,43.431,24.403,2025,Bahrain,R
ANT,11.0,0 days 00:01:39.667000,SOFT,14.0,1.0,1,,,0 days 00:00:31.598000,0 days 00:00:43.638000,0 days 00:00:24.431000,4.0,99.667,31.598,43.638,24.431,2025,Bahrain,R
ANT,14.0,0 days 00:01:37.732000,MEDIUM,2.0,2.0,1,,,0 days 00:00:30.789000,0 days 00:00:42.732000,0 days 00:00:24.211000,13.0,97.732,30.789,42.732,24.211,2025,Bahrain,R
ANT,15.0,0 days 00:01:38.397000,MEDIUM,3.0,2.0,1,,,0 days 00:00:30.955000,0 days 00:00:43.120000,0 days 00:00:24.322000,11.0,98.397,30.955,43.12,24.322,2025,Bahrain,R
ANT,16.0,0 days 00:01:39.069000,MEDIUM,4.0,2.0,1,,,0 days 00:00:31.021000,0 days 00:00:43.495000,0 days 00:00:24.553000,10.0,99.069,31.021,43.495,24.553,2025,Bahrain,R
ANT,17.0,0 days 00:01:38.942000,MEDIUM,5.0,2.0,1,,,0 days 00:00:31.113000,0 days 00:00:43.534000,0 days 00:00:24.295000,9.0,98.942,31.113,43.534,24.295,2025,Bahrain,R
ANT,18.0,0 days 00:01:38.365000,MEDIUM,6.0,2.0,1,,,0 days 00:00:30.899000,0 days 00:00:43.190000,0 days 00:00:24.276000,8.0,98.365,30.899,43.19,24.276,2025,Bahrain,R
ANT,19.0,0 days 00:01:38.331000,MEDIUM,7.0,2.0,1,,,0 days 00:00:30.842000,0 days 00:00:43.084000,0 days 00:00:24.405000,8.0,98.331,30.842,43.084,24.405,2025,Bahrain,R
