Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
ANT,2.0,0 days 00:01:34.531000,MEDIUM,2.0,1.0,1,,,0 days 00:00:34.135000,0 days 00:00:42.288000,0 days 00:00:18.108000,6.0,94.531,34.135,42.288,18.108,2025,Japan,R
ANT,3.0,0 days 00:01:34.123000,MEDIUM,3.0,1.0,1,,,0 days 00:00:33.628000,0 days 00:00:42.362000,0 days 00:00:18.133000,6.0,94.123,33.628,42.362,18.133,2025,Japan,R
ANT,4.0,0 days 00:01:34.260000,MEDIUM,4.0,1.0,1,,,0 days 00:00:33.531000,0 days 00:00:42.556000,0 days 00:00:18.173000,6.0,94.26,33.531,42.556,18.173,2025,Japan,R
ANT,5.0,0 days 00:01:33.790000,MEDIUM,5.0,1.0,1,,,0 days 00:00:33.200000,0 days 00:00:42.410000,0 days 00:00:18.180000,6.0,93.79,33.2,42.41,18.18,2025,Japan,R
ANT,6.0,0 days 00:01:34.057000,MEDIUM,6.0,1.0,1,,,0 days 00:00:33.288000,0 days 00:00:42.570000,0 days 00:00:18.199000,6.0,94.057,33.288,42.57,18.199,2025,Japan,R
ANT,7.0,0 days 00:01:33.841000,MEDIUM,7.0,1.0,1,,,0 days 00:00:33.053000,0 days 00:00:42.612000,0 days 00:00:18.176000,6.0,93.841,33.053,42.612,18.176,2025,Japan,R
ANT,8.0,0 days 00:01:34.018000,MEDIUM,8.0,1.0,1,,,0 days 00:00:33.159000,0 days 00:00:42.691000,0 days 00:00:18.168000,6.0,94.018,33.159,42.691,18.168,2025,Japan,R
ANT,9.0,0 days 00:01:33.882000,MEDIUM,9.0,1.0,1,,,0 days 00:00:33.172000,0 days 00:00:42.541000,0 days 00:00:18.169000,6.0,93.882,33.172,42.541,18.169,2025,Japan,R
ANT,10.0,0 days 00:01:33.721000,MEDIUM,10.0,1.0,1,,,0 days 00:00:33.036000,0 days 00:00:42.531000,0 days 00:00:18.154000,6.0,93.721,33.036,42.531,18.154,2025,Japan,R
ANT,11.0,0 days 00:01:34.220000,MEDIUM,11.0,1.0,1,,,0 days 00:00:33.293000,0 days 00:00:42.713000,0 days 00:00:18.214000,6.0,94.22,33.293,42.713,18.214,2025,Japan,R
ANT,12.0,0 days 00:01:34.182000,MEDIUM,12.0,1.0,1,,,0 days 00:00:33.189000,0 days 00:00:42.775000,0 days 00:00:18.218000,6.0,94.182,33.189,42.775,18.218,2025,Japan,R
ANT,13.0,0 days 00:01:33.768000,MEDIUM,13.0,1.0,1,,,0 days 00:00:33.101000,0 days 00:00:42.540000,0 days 00:00:18.127000,6.0,93.768,33.101,42.54,18.127,2025,Japan,R
ANT,14.0,0 days 00:01:33.973000,MEDIUM,14.0,1.0,1,,,0 days 00:00:32.992000,0 days 00:00:42.694000,0 days 00:00:18.287000,6.0,93.973,32.992,42.694,18.287,2025,Japan,R
