Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,2.0,0 days 00:01:37.817000,SOFT,5.0,1.0,1,,,0 days 00:00:31.075000,0 days 00:00:42.830000,0 days 00:00:23.912000,2.0,97.817,31.075,42.83,23.912,2025,Bahrain,R
RUS,3.0,0 days 00:01:38.286000,SOFT,6.0,1.0,1,,,0 days 00:00:31.490000,0 days 00:00:42.703000,0 days 00:00:24.093000,2.0,98.286,31.49,42.703,24.093,2025,Bahrain,R
RUS,4.0,0 days 00:01:38.378000,SOFT,7.0,1.0,1,,,0 days 00:00:31.455000,0 days 00:00:42.808000,0 days 00:00:24.115000,2.0,98.378,31.455,42.808,24.115,2025,Bahrain,R
RUS,5.0,0 days 00:01:38.604000,SOFT,8.0,1.0,1,,,0 days 00:00:31.416000,0 days 00:00:43.034000,0 days 00:00:24.154000,2.0,98.604,31.416,43.034,24.154,2025,Bahrain,R
RUS,6.0,0 days 00:01:38.467000,SOFT,9.0,1.0,1,,,0 days 00:00:31.427000,0 days 00:00:42.851000,0 days 00:00:24.189000,2.0,98.467,31.427,42.851,24.189,2025,Bahrain,R
RUS,7.0,0 days 00:01:38.686000,SOFT,10.0,1.0,1,,,0 days 00:00:31.405000,0 days 00:00:43.002000,0 days 00:00:24.279000,2.0,98.686,31.405,43.002,24.279,2025,Bahrain,R
RUS,8.0,0 days 00:01:39.007000,SOFT,11.0,1.0,1,,,0 days 00:00:31.534000,0 days 00:00:43.192000,0 days 00:00:24.281000,2.0,99.007,31.534,43.192,24.281,2025,Bahrain,R
RUS,9.0,0 days 00:01:38.900000,SOFT,12.0,1.0,1,,,0 days 00:00:31.550000,0 days 00:00:43.050000,0 days 00:00:24.300000,2.0,98.9,31.55,43.05,24.3,2025,Bahrain,R
RUS,10.0,0 days 00:01:38.889000,SOFT,13.0,1.0,1,,,0 days 00:00:31.528000,0 days 00:00:43.040000,0 days 00:00:24.321000,2.0,98.889,31.528,43.04,24.321,2025,Bahrain,R
RUS,11.0,0 days 00:01:39.152000,SOFT,14.0,1.0,1,,,0 days 00:00:31.474000,0 days 00:00:43.381000,0 days 00:00:24.297000,2.0,99.152,31.474,43.381,24.297,2025,Bahrain,R
