Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,2.0,0 days 00:01:21.564000,SOFT,5.0,1.0,1,,,0 days 00:00:24.515000,0 days 00:00:33.029000,0 days 00:00:24.020000,6.0,81.564,24.515,33.029,24.02,2025,Barcelona-Catalunya,R
RUS,3.0,0 days 00:01:21.385000,SOFT,6.0,1.0,1,,,0 days 00:00:24.145000,0 days 00:00:32.846000,0 days 00:00:24.394000,6.0,81.385,24.145,32.846,24.394,2025,Barcelona-Catalunya,R
RUS,4.0,0 days 00:01:21.126000,SOFT,7.0,1.0,1,,,0 days 00:00:24.090000,0 days 00:00:32.710000,0 days 00:00:24.326000,6.0,81.126,24.09,32.71,24.326,2025,Barcelona-Catalunya,R
RUS,5.0,0 days 00:01:21.130000,SOFT,8.0,1.0,1,,,0 days 00:00:24.050000,0 days 00:00:32.694000,0 days 00:00:24.386000,6.0,81.13,24.05,32.694,24.386,2025,Barcelona-Catalunya,R
RUS,6.0,0 days 00:01:21.383000,SOFT,9.0,1.0,1,,,0 days 00:00:24.069000,0 days 00:00:32.786000,0 days 00:00:24.528000,6.0,81.383,24.069,32.786,24.528,2025,Barcelona-Catalunya,R
RUS,7.0,0 days 00:01:21.684000,SOFT,10.0,1.0,1,,,0 days 00:00:24.067000,0 days 00:00:32.977000,0 days 00:00:24.640000,6.0,81.684,24.067,32.977,24.64,2025,Barcelona-Catalunya,R
RUS,8.0,0 days 00:01:21.738000,SOFT,11.0,1.0,1,,,0 days 00:00:23.979000,0 days 00:00:33.090000,0 days 00:00:24.669000,6.0,81.738,23.979,33.09,24.669,2025,Barcelona-Catalunya,R
RUS,9.0,0 days 00:01:22.136000,SOFT,12.0,1.0,1,,,0 days 00:00:24.142000,0 days 00:00:33.224000,0 days 00:00:24.770000,6.0,82.136,24.142,33.224,24.77,2025,Barcelona-Catalunya,R
RUS,10.0,0 days 00:01:22.081000,SOFT,13.0,1.0,1,,,0 days 00:00:24.162000,0 days 00:00:33.205000,0 days 00:00:24.714000,6.0,82.081,24.162,33.205,24.714,2025,Barcelona-Catalunya,R
RUS,11.0,0 days 00:01:21.472000,SOFT,14.0,1.0,1,,,0 days 00:00:23.882000,0 days 00:00:32.927000,0 days 00:00:24.663000,6.0,81.472,23.882,32.927,24.663,2025,Barcelona-Catalunya,R
RUS,12.0,0 days 00:01:21.625000,SOFT,15.0,1.0,1,,,0 days 00:00:23.868000,0 days 00:00:32.993000,0 days 00:00:24.764000,6.0,81.625,23.868,32.993,24.764,2025,Barcelona-Catalunya,R
RUS,13.0,0 days 00:01:22.055000,SOFT,16.0,1.0,1,,,0 days 00:00:24.132000,0 days 00:00:33.159000,0 days 00:00:24.764000,6.0,82.055,24.132,33.159,24.764,2025,Barcelona-Catalunya,R
RUS,14.0,0 days 00:01:22.339000,SOFT,17.0,1.0,1,,,0 days 00:00:24.081000,0 days 00:00:33.471000,0 days 00:00:24.787000,5.0,82.339,24.081,33.471,24.787,2025,Barcelona-Catalunya,R
RUS,15.0,0 days 00:01:21.968000,SOFT,18.0,1.0,1,,,0 days 00:00:24.108000,0 days 00:00:33.173000,0 days 00:00:24.687000,5.0,81.968,24.108,33.173,24.687,2025,Barcelona-Catalunya,R
RUS,16.0,0 days 00:01:21.547000,SOFT,19.0,1.0,1,,,0 days 00:00:23.908000,0 days 00:00:32.982000,0 days 00:00:24.657000,4.0,81.547,23.908,32.982,24.657,2025,Barcelona-Catalunya,R
RUS,17.0,0 days 00:01:21.382000,SOFT,20.0,1.0,1,,,0 days 00:00:23.925000,0 days 00:00:32.868000,0 days 00:00:24.589000,4.0,81.382,23.925,32.868,24.589,2025,Barcelona-Catalunya,R
RUS,18.0,0 days 00:01:21.732000,SOFT,21.0,1.0,1,,,0 days 00:00:24.064000,0 days 00:00:33.034000,0 days 00:00:24.634000,3.0,81.732,24.064,33.034,24.634,2025,Barcelona-Catalunya,R
RUS,19.0,0 days 00:01:22.971000,SOFT,22.0,1.0,1,,,0 days 00:00:24.056000,0 days 00:00:33.936000,0 days 00:00:24.979000,4.0,82.971,24.056,33.936,24.979,2025,Barcelona-Catalunya,R
RUS,22.0,0 days 00:01:19.163000,MEDIUM,2.0,2.0,1,,,0 days 00:00:23.553000,0 days 00:00:31.850000,0 days 00:00:23.760000,6.0,79.163,23.553,31.85,23.76,2025,Barcelona-Catalunya,R
RUS,23.0,0 days 00:01:19.512000,MEDIUM,3.0,2.0,1,,,0 days 00:00:23.430000,0 days 00:00:32.202000,0 days 00:00:23.880000,6.0,79.512,23.43,32.202,23.88,2025,Barcelona-Catalunya,R
RUS,24.0,0 days 00:01:20.074000,MEDIUM,4.0,2.0,1,,,0 days 00:00:23.562000,0 days 00:00:32.341000,0 days 00:00:24.171000,6.0,80.074,23.562,32.341,24.171,2025,Barcelona-Catalunya,R
