Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,2.0,0 days 00:01:16.437000,MEDIUM,5.0,1.0,1,,,0 days 00:00:21.478000,0 days 00:00:24.203000,0 days 00:00:30.756000,1.0,76.437,21.478,24.203,30.756,2025,Canada,R
RUS,3.0,0 days 00:01:16.253000,MEDIUM,6.0,1.0,1,,,0 days 00:00:21.332000,0 days 00:00:24.190000,0 days 00:00:30.731000,1.0,76.253,21.332,24.19,30.731,2025,Canada,R
RUS,4.0,0 days 00:01:15.986000,MEDIUM,7.0,1.0,1,,,0 days 00:00:21.298000,0 days 00:00:24.026000,0 days 00:00:30.662000,1.0,75.986,21.298,24.026,30.662,2025,Canada,R
RUS,5.0,0 days 00:01:15.808000,MEDIUM,8.0,1.0,1,,,0 days 00:00:21.283000,0 days 00:00:23.963000,0 days 00:00:30.562000,1.0,75.808,21.283,23.963,30.562,2025,Canada,R
RUS,6.0,0 days 00:01:15.984000,MEDIUM,9.0,1.0,1,,,0 days 00:00:21.239000,0 days 00:00:23.965000,0 days 00:00:30.780000,1.0,75.984,21.239,23.965,30.78,2025,Canada,R
RUS,7.0,0 days 00:01:16.384000,MEDIUM,10.0,1.0,1,,,0 days 00:00:21.373000,0 days 00:00:24.161000,0 days 00:00:30.850000,1.0,76.384,21.373,24.161,30.85,2025,Canada,R
RUS,8.0,0 days 00:01:16.413000,MEDIUM,11.0,1.0,1,,,0 days 00:00:21.470000,0 days 00:00:24.177000,0 days 00:00:30.766000,1.0,76.413,21.47,24.177,30.766,2025,Canada,R
RUS,9.0,0 days 00:01:16.608000,MEDIUM,12.0,1.0,1,,,0 days 00:00:21.440000,0 days 00:00:24.282000,0 days 00:00:30.886000,1.0,76.608,21.44,24.282,30.886,2025,Canada,R
RUS,10.0,0 days 00:01:16.538000,MEDIUM,13.0,1.0,1,,,0 days 00:00:21.417000,0 days 00:00:24.176000,0 days 00:00:30.945000,1.0,76.538,21.417,24.176,30.945,2025,Canada,R
RUS,11.0,0 days 00:01:16.558000,MEDIUM,14.0,1.0,1,,,0 days 00:00:21.405000,0 days 00:00:24.283000,0 days 00:00:30.870000,1.0,76.558,21.405,24.283,30.87,2025,Canada,R
RUS,12.0,0 days 00:01:16.715000,MEDIUM,15.0,1.0,1,,,0 days 00:00:21.455000,0 days 00:00:24.372000,0 days 00:00:30.888000,1.0,76.715,21.455,24.372,30.888,2025,Canada,R
RUS,15.0,0 days 00:01:16.816000,HARD,3.0,2.0,1,,,0 days 00:00:21.696000,0 days 00:00:24.463000,0 days 00:00:30.657000,4.0,76.816,21.696,24.463,30.657,2025,Canada,R
RUS,16.0,0 days 00:01:15.866000,HARD,4.0,2.0,1,,,0 days 00:00:21.199000,0 days 00:00:24.040000,0 days 00:00:30.627000,3.0,75.866,21.199,24.04,30.627,2025,Canada,R
RUS,17.0,0 days 00:01:15.817000,HARD,5.0,2.0,1,,,0 days 00:00:21.238000,0 days 00:00:23.999000,0 days 00:00:30.580000,3.0,75.817,21.238,23.999,30.58,2025,Canada,R
RUS,18.0,0 days 00:01:15.914000,HARD,6.0,2.0,1,,,0 days 00:00:21.246000,0 days 00:00:24.091000,0 days 00:00:30.577000,3.0,75.914,21.246,24.091,30.577,2025,Canada,R
RUS,19.0,0 days 00:01:15.890000,HARD,7.0,2.0,1,,,0 days 00:00:21.339000,0 days 00:00:24.065000,0 days 00:00:30.486000,3.0,75.89,21.339,24.065,30.486,2025,Canada,R
RUS,20.0,0 days 00:01:15.872000,HARD,8.0,2.0,1,,,0 days 00:00:21.249000,0 days 00:00:24.009000,0 days 00:00:30.614000,3.0,75.872,21.249,24.009,30.614,2025,Canada,R
RUS,21.0,0 days 00:01:16.013000,HARD,9.0,2.0,1,,,0 days 00:00:21.313000,0 days 00:00:24.103000,0 days 00:00:30.597000,3.0,76.013,21.313,24.103,30.597,2025,Canada,R
RUS,22.0,0 days 00:01:16.089000,HARD,10.0,2.0,1,,,0 days 00:00:21.259000,0 days 00:00:24.216000,0 days 00:00:30.614000,3.0,76.089,21.259,24.216,30.614,2025,Canada,R
RUS,23.0,0 days 00:01:15.993000,HARD,11.0,2.0,1,,,0 days 00:00:21.346000,0 days 00:00:24.033000,0 days 00:00:30.614000,3.0,75.993,21.346,24.033,30.614,2025,Canada,R
RUS,24.0,0 days 00:01:15.735000,HARD,12.0,2.0,1,,,0 days 00:00:21.259000,0 days 00:00:23.975000,0 days 00:00:30.501000,3.0,75.735,21.259,23.975,30.501,2025,Canada,R
RUS,25.0,0 days 00:01:15.563000,HARD,13.0,2.0,1,,,0 days 00:00:21.185000,0 days 00:00:23.989000,0 days 00:00:30.389000,3.0,75.563,21.185,23.989,30.389,2025,Canada,R
RUS,26.0,0 days 00:01:15.299000,HARD,14.0,2.0,1,,,0 days 00:00:21.239000,0 days 00:00:23.855000,0 days 00:00:30.205000,2.0,75.299,21.239,23.855,30.205,2025,Canada,R
RUS,27.0,0 days 00:01:16.043000,HARD,15.0,2.0,1,,,0 days 00:00:21.358000,0 days 00:00:24,0 days 00:00:30.685000,2.0,76.043,21.358,24.0,30.685,2025,Canada,R
RUS,28.0,0 days 00:01:15.759000,HARD,16.0,2.0,1,,,0 days 00:00:21.181000,0 days 00:00:24.002000,0 days 00:00:30.576000,2.0,75.759,21.181,24.002,30.576,2025,Canada,R
RUS,29.0,0 days 00:01:15.986000,HARD,17.0,2.0,1,,,0 days 00:00:21.266000,0 days 00:00:24.113000,0 days 00:00:30.607000,1.0,75.986,21.266,24.113,30.607,2025,Canada,R
RUS,30.0,0 days 00:01:15.648000,HARD,18.0,2.0,1,,,0 days 00:00:21.170000,0 days 00:00:23.916000,0 days 00:00:30.562000,1.0,75.648,21.17,23.916,30.562,2025,Canada,R
RUS,31.0,0 days 00:01:15.564000,HARD,19.0,2.0,1,,,0 days 00:00:21.269000,0 days 00:00:23.939000,0 days 00:00:30.356000,1.0,75.564,21.269,23.939,30.356,2025,Canada,R
RUS,32.0,0 days 00:01:15.422000,HARD,20.0,2.0,1,,,0 days 00:00:21.061000,0 days 00:00:23.930000,0 days 00:00:30.431000,1.0,75.422,21.061,23.93,30.431,2025,Canada,R
RUS,33.0,0 days 00:01:15.588000,HARD,21.0,2.0,1,,,0 days 00:00:21.140000,0 days 00:00:23.947000,0 days 00:00:30.501000,1.0,75.588,21.14,23.947,30.501,2025,Canada,R
RUS,34.0,0 days 00:01:15.551000,HARD,22.0,2.0,1,,,0 days 00:00:21.139000,0 days 00:00:23.929000,0 days 00:00:30.483000,1.0,75.551,21.139,23.929,30.483,2025,Canada,R
RUS,35.0,0 days 00:01:15.578000,HARD,23.0,2.0,1,,,0 days 00:00:21.162000,0 days 00:00:23.982000,0 days 00:00:30.434000,1.0,75.578,21.162,23.982,30.434,2025,Canada,R
RUS,36.0,0 days 00:01:15.573000,HARD,24.0,2.0,1,,,0 days 00:00:21.197000,0 days 00:00:23.930000,0 days 00:00:30.446000,1.0,75.573,21.197,23.93,30.446,2025,Canada,R
RUS,37.0,0 days 00:01:15.536000,HARD,25.0,2.0,1,,,0 days 00:00:21.177000,0 days 00:00:23.986000,0 days 00:00:30.373000,1.0,75.536,21.177,23.986,30.373,2025,Canada,R
RUS,38.0,0 days 00:01:15.570000,HARD,26.0,2.0,1,,,0 days 00:00:21.215000,0 days 00:00:23.904000,0 days 00:00:30.451000,1.0,75.57,21.215,23.904,30.451,2025,Canada,R
RUS,39.0,0 days 00:01:15.766000,HARD,27.0,2.0,1,,,0 days 00:00:21.189000,0 days 00:00:24.084000,0 days 00:00:30.493000,1.0,75.766,21.189,24.084,30.493,2025,Canada,R
RUS,40.0,0 days 00:01:15.701000,HARD,28.0,2.0,1,,,0 days 00:00:21.336000,0 days 00:00:23.948000,0 days 00:00:30.417000,1.0,75.701,21.336,23.948,30.417,2025,Canada,R
