Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,2.0,0 days 00:01:21.596000,MEDIUM,5.0,1.0,1,,,0 days 00:00:26.157000,0 days 00:00:28.386000,0 days 00:00:27.053000,3.0,81.596,26.157,28.386,27.053,2025,Emilia Romagna,R
RUS,3.0,0 days 00:01:21.618000,MEDIUM,6.0,1.0,1,,,0 days 00:00:25.973000,0 days 00:00:28.523000,0 days 00:00:27.122000,3.0,81.618,25.973,28.523,27.122,2025,Emilia Romagna,R
RUS,4.0,0 days 00:01:21.707000,MEDIUM,7.0,1.0,1,,,0 days 00:00:26.121000,0 days 00:00:28.562000,0 days 00:00:27.024000,3.0,81.707,26.121,28.562,27.024,2025,Emilia Romagna,R
RUS,5.0,0 days 00:01:21.385000,MEDIUM,8.0,1.0,1,,,0 days 00:00:25.902000,0 days 00:00:28.408000,0 days 00:00:27.075000,3.0,81.385,25.902,28.408,27.075,2025,Emilia Romagna,R
RUS,6.0,0 days 00:01:21.773000,MEDIUM,9.0,1.0,1,,,0 days 00:00:25.879000,0 days 00:00:28.641000,0 days 00:00:27.253000,3.0,81.773,25.879,28.641,27.253,2025,Emilia Romagna,R
RUS,7.0,0 days 00:01:21.505000,MEDIUM,10.0,1.0,1,,,0 days 00:00:25.886000,0 days 00:00:28.320000,0 days 00:00:27.299000,3.0,81.505,25.886,28.32,27.299,2025,Emilia Romagna,R
RUS,8.0,0 days 00:01:21.744000,MEDIUM,11.0,1.0,1,,,0 days 00:00:26.012000,0 days 00:00:28.639000,0 days 00:00:27.093000,3.0,81.744,26.012,28.639,27.093,2025,Emilia Romagna,R
RUS,9.0,0 days 00:01:22.495000,MEDIUM,12.0,1.0,1,,,0 days 00:00:26.326000,0 days 00:00:28.969000,0 days 00:00:27.200000,3.0,82.495,26.326,28.969,27.2,2025,Emilia Romagna,R
RUS,10.0,0 days 00:01:23.096000,MEDIUM,13.0,1.0,1,,,0 days 00:00:26.386000,0 days 00:00:29.081000,0 days 00:00:27.629000,3.0,83.096,26.386,29.081,27.629,2025,Emilia Romagna,R
RUS,13.0,0 days 00:01:21.334000,HARD,2.0,2.0,1,,,0 days 00:00:25.756000,0 days 00:00:28.382000,0 days 00:00:27.196000,14.0,81.334,25.756,28.382,27.196,2025,Emilia Romagna,R
RUS,14.0,0 days 00:01:21.410000,HARD,3.0,2.0,1,,,0 days 00:00:25.981000,0 days 00:00:28.346000,0 days 00:00:27.083000,14.0,81.41,25.981,28.346,27.083,2025,Emilia Romagna,R
RUS,15.0,0 days 00:01:21.356000,HARD,4.0,2.0,1,,,0 days 00:00:25.899000,0 days 00:00:28.395000,0 days 00:00:27.062000,13.0,81.356,25.899,28.395,27.062,2025,Emilia Romagna,R
RUS,16.0,0 days 00:01:21.570000,HARD,5.0,2.0,1,,,0 days 00:00:25.822000,0 days 00:00:28.424000,0 days 00:00:27.324000,13.0,81.57,25.822,28.424,27.324,2025,Emilia Romagna,R
