Driver,LapNumber,LapTime,Compound,TyreLife,Stint,TrackStatus,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,Position,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Year,GrandPrix,Session
RUS,2.0,0 days 00:01:34.191000,MEDIUM,2.0,1.0,1,,,0 days 00:00:33.985000,0 days 00:00:42.155000,0 days 00:00:18.051000,5.0,94.191,33.985,42.155,18.051,2025,Japan,R
RUS,3.0,0 days 00:01:34.204000,MEDIUM,3.0,1.0,1,,,0 days 00:00:33.652000,0 days 00:00:42.334000,0 days 00:00:18.218000,5.0,94.204,33.652,42.334,18.218,2025,Japan,R
RUS,4.0,0 days 00:01:34.057000,MEDIUM,4.0,1.0,1,,,0 days 00:00:33.511000,0 days 00:00:42.480000,0 days 00:00:18.066000,5.0,94.057,33.511,42.48,18.066,2025,Japan,R
RUS,5.0,0 days 00:01:33.795000,MEDIUM,5.0,1.0,1,,,0 days 00:00:33.241000,0 days 00:00:42.398000,0 days 00:00:18.156000,5.0,93.795,33.241,42.398,18.156,2025,Japan,R
RUS,6.0,0 days 00:01:33.922000,MEDIUM,6.0,1.0,1,,,0 days 00:00:33.263000,0 days 00:00:42.485000,0 days 00:00:18.174000,5.0,93.922,33.263,42.485,18.174,2025,Japan,R
RUS,7.0,0 days 00:01:34.181000,MEDIUM,7.0,1.0,1,,,0 days 00:00:33.194000,0 days 00:00:42.793000,0 days 00:00:18.194000,5.0,94.181,33.194,42.793,18.194,2025,Japan,R
RUS,8.0,0 days 00:01:33.798000,MEDIUM,8.0,1.0,1,,,0 days 00:00:32.911000,0 days 00:00:42.645000,0 days 00:00:18.242000,5.0,93.798,32.911,42.645,18.242,2025,Japan,R
RUS,9.0,0 days 00:01:33.816000,MEDIUM,9.0,1.0,1,,,0 days 00:00:32.847000,0 days 00:00:42.697000,0 days 00:00:18.272000,5.0,93.816,32.847,42.697,18.272,2025,Japan,R
RUS,10.0,0 days 00:01:33.603000,MEDIUM,10.0,1.0,1,,,0 days 00:00:32.889000,0 days 00:00:42.573000,0 days 00:00:18.141000,5.0,93.603,32.889,42.573,18.141,2025,Japan,R
RUS,11.0,0 days 00:01:33.883000,MEDIUM,11.0,1.0,1,,,0 days 00:00:33.054000,0 days 00:00:42.636000,0 days 00:00:18.193000,5.0,93.883,33.054,42.636,18.193,2025,Japan,R
RUS,12.0,0 days 00:01:33.864000,MEDIUM,12.0,1.0,1,,,0 days 00:00:32.851000,0 days 00:00:42.747000,0 days 00:00:18.266000,5.0,93.864,32.851,42.747,18.266,2025,Japan,R
RUS,13.0,0 days 00:01:33.815000,MEDIUM,13.0,1.0,1,,,0 days 00:00:32.854000,0 days 00:00:42.613000,0 days 00:00:18.348000,5.0,93.815,32.854,42.613,18.348,2025,Japan,R
RUS,14.0,0 days 00:01:33.658000,MEDIUM,14.0,1.0,1,,,0 days 00:00:32.727000,0 days 00:00:42.719000,0 days 00:00:18.212000,5.0,93.658,32.727,42.719,18.212,2025,Japan,R
RUS,15.0,0 days 00:01:33.707000,MEDIUM,15.0,1.0,1,,,0 days 00:00:32.857000,0 days 00:00:42.615000,0 days 00:00:18.235000,5.0,93.707,32.857,42.615,18.235,2025,Japan,R
RUS,16.0,0 days 00:01:33.860000,MEDIUM,16.0,1.0,1,,,0 days 00:00:32.849000,0 days 00:00:42.815000,0 days 00:00:18.196000,5.0,93.86,32.849,42.815,18.196,2025,Japan,R
RUS,17.0,0 days 00:01:33.834000,MEDIUM,17.0,1.0,1,,,0 days 00:00:32.852000,0 days 00:00:42.709000,0 days 00:00:18.273000,5.0,93.834,32.852,42.709,18.273,2025,Japan,R
RUS,18.0,0 days 00:01:33.966000,MEDIUM,18.0,1.0,1,,,0 days 00:00:33.069000,0 days 00:00:42.602000,0 days 00:00:18.295000,5.0,93.966,33.069,42.602,18.295,2025,Japan,R
RUS,21.0,0 days 00:01:33.237000,HARD,2.0,2.0,1,,,0 days 00:00:32.687000,0 days 00:00:42.344000,0 days 00:00:18.206000,12.0,93.237,32.687,42.344,18.206,2025,Japan,R
RUS,22.0,0 days 00:01:34.123000,HARD,3.0,2.0,1,,,0 days 00:00:33.574000,0 days 00:00:42.540000,0 days 00:00:18.009000,11.0,94.123,33.574,42.54,18.009,2025,Japan,R
RUS,23.0,0 days 00:01:33.278000,HARD,4.0,2.0,1,,,0 days 00:00:32.933000,0 days 00:00:42.302000,0 days 00:00:18.043000,11.0,93.278,32.933,42.302,18.043,2025,Japan,R
RUS,24.0,0 days 00:01:34.340000,HARD,5.0,2.0,1,,,0 days 00:00:33.074000,0 days 00:00:42.546000,0 days 00:00:18.720000,9.0,94.34,33.074,42.546,18.72,2025,Japan,R
